epoch,train_loss,val_loss,auc,accuracy,precision,recall,f1,is_best
1,4.663344,1.130399,0.24818888888888888,0.332,0.3360522022838499,0.6866666666666666,0.45125958378970427,True
2,1.945529,0.727898,0.5583592592592592,0.6226666666666667,0.5298245614035088,0.5033333333333333,0.5162393162393163,True
3,0.929186,0.625822,0.7109444444444444,0.6506666666666666,0.7375,0.19666666666666666,0.3105263157894737,True
4,0.643176,0.554258,0.7789222222222222,0.6506666666666666,0.7375,0.19666666666666666,0.3105263157894737,True
5,0.540176,0.491508,0.7842037037037036,0.6946666666666667,0.6349809885931559,0.5566666666666666,0.5932504440497336,True
6,0.510649,0.488263,0.7870333333333334,0.688,0.5785714285714286,0.81,0.675,True
7,0.512539,0.487869,0.7897000000000001,0.6813333333333333,0.5616161616161616,0.9266666666666666,0.6993710691823899,True
8,0.51413,0.487276,0.7941888888888888,0.6813333333333333,0.5628865979381443,0.91,0.6955414012738853,True
9,0.505657,0.485861,0.8009814814814815,0.6853333333333333,0.5637450199203188,0.9433333333333334,0.7057356608478803,True
10,0.509116,0.485679,0.8079814814814814,0.6906666666666667,0.5682730923694779,0.9433333333333334,0.7092731829573935,True
11,0.502128,0.483283,0.8109444444444445,0.6893333333333334,0.5674044265593562,0.94,0.7076537013801757,True
12,0.502531,0.481741,0.8150555555555555,0.6986666666666667,0.5774058577405857,0.92,0.7095115681233933,True
13,0.500558,0.48189,0.8206259259259259,0.7026666666666667,0.5810526315789474,0.92,0.712258064516129,False
14,0.500096,0.481588,0.8222333333333334,0.716,0.5968819599109132,0.8933333333333333,0.7156208277703605,True
15,0.496195,0.47713,0.821011111111111,0.72,0.6004464285714286,0.8966666666666666,0.7192513368983957,True
16,0.494258,0.47789,0.8266407407407408,0.7226666666666667,0.6022222222222222,0.9033333333333333,0.7226666666666667,False
17,0.49648,0.474173,0.8231444444444445,0.7373333333333333,0.6235011990407674,0.8666666666666667,0.7252440725244073,True
18,0.493634,0.473991,0.8283407407407408,0.7373333333333333,0.6229116945107399,0.87,0.7260083449235049,True
19,0.495971,0.472784,0.8294481481481482,0.7413333333333333,0.6286407766990292,0.8633333333333333,0.7275280898876404,True
20,0.492148,0.470559,0.8292999999999999,0.744,0.6330049261083743,0.8566666666666667,0.7280453257790368,True
21,0.49168,0.469692,0.8303814814814814,0.748,0.6434108527131783,0.83,0.7248908296943232,True
22,0.495484,0.473361,0.8259666666666666,0.7373333333333333,0.6303797468354431,0.83,0.7165467625899281,False
23,0.490052,0.472683,0.8260111111111111,0.7373333333333333,0.6351706036745407,0.8066666666666666,0.71071953010279,False
24,0.493597,0.471625,0.8266111111111112,0.74,0.6329113924050633,0.8333333333333334,0.7194244604316546,False
25,0.49433,0.470852,0.8274555555555555,0.74,0.6446280991735537,0.78,0.7058823529411765,False
26,0.486458,0.469547,0.8281444444444443,0.7346666666666667,0.6353887399463807,0.79,0.7043090638930164,True
27,0.488273,0.468586,0.828737037037037,0.7386666666666667,0.6397849462365591,0.7933333333333333,0.7083333333333334,True
28,0.488281,0.467568,0.8289740740740741,0.74,0.6430517711171662,0.7866666666666666,0.7076461769115442,True
29,0.488624,0.46694,0.8295296296296296,0.74,0.6422764227642277,0.79,0.7085201793721974,True
30,0.487045,0.466756,0.8294777777777778,0.7373333333333333,0.6426592797783933,0.7733333333333333,0.7019667170953101,True
31,0.485786,0.4666,0.8289592592592593,0.736,0.6408839779005525,0.7733333333333333,0.7009063444108762,True
32,0.489444,0.466381,0.8292703703703703,0.7413333333333333,0.6432432432432432,0.7933333333333333,0.7104477611940299,True
33,0.48683,0.466428,0.8283222222222222,0.7373333333333333,0.6442577030812325,0.7666666666666667,0.700152207001522,False
34,0.483348,0.465586,0.829425925925926,0.736,0.6416666666666667,0.77,0.7,True
35,0.485813,0.464816,0.8300037037037036,0.744,0.6467391304347826,0.7933333333333333,0.7125748502994012,True
36,0.486123,0.464845,0.829374074074074,0.7426666666666667,0.6507042253521127,0.77,0.7053435114503817,False
37,0.486211,0.464414,0.8295296296296296,0.7373333333333333,0.6475644699140402,0.7533333333333333,0.6964560862865947,True
38,0.485717,0.464203,0.8297814814814815,0.7413333333333333,0.653179190751445,0.7533333333333333,0.6996904024767802,True
39,0.485905,0.464153,0.8290777777777778,0.7373333333333333,0.6458923512747875,0.76,0.6983154670750383,True
40,0.484647,0.464671,0.8279592592592592,0.7413333333333333,0.653179190751445,0.7533333333333333,0.6996904024767802,False
41,0.483817,0.464892,0.8276259259259259,0.74,0.6539589442815249,0.7433333333333333,0.6957878315132605,False
42,0.482634,0.464964,0.8272999999999999,0.7413333333333333,0.6577380952380952,0.7366666666666667,0.6949685534591195,False
43,0.482689,0.463726,0.8287814814814813,0.7373333333333333,0.6395663956639567,0.7866666666666666,0.7055306427503737,True
44,0.484841,0.46338,0.8291000000000001,0.7306666666666667,0.6346153846153846,0.77,0.6957831325301205,True
45,0.48465,0.463728,0.8290481481481482,0.736,0.646551724137931,0.75,0.6944444444444444,False
46,0.484166,0.46414,0.8283222222222224,0.7386666666666667,0.6494252873563219,0.7533333333333333,0.6975308641975309,False
47,0.485332,0.465025,0.8269592592592593,0.74,0.6512968299711815,0.7533333333333333,0.6986089644513137,False
48,0.479829,0.464721,0.8268481481481481,0.7413333333333333,0.6558823529411765,0.7433333333333333,0.696875,False
49,0.48292,0.464384,0.8268777777777777,0.732,0.637883008356546,0.7633333333333333,0.6949924127465857,False
50,0.479974,0.464012,0.8271148148148147,0.7333333333333333,0.638121546961326,0.77,0.6978851963746223,False
