video_id,crawl_time,cover_uri,cover_url_list,cover_width,cover_height,origin_cover_uri,origin_cover_url_list,origin_cover_width,origin_cover_height,dynamic_cover_uri,dynamic_cover_url_list,dynamic_cover_width,dynamic_cover_height,video_width,video_height,video_format,video_ratio,is_h265,is_long_video,has_watermark,bit_rate_raw,big_thumbs_raw,video_meta_raw
7614132371868224811,2026-05-07 18:42:46.834876,image-cut-tos-priv/371c36dc764e375e9ae5e894f9fcb6e4,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/okqP9CpA9Q8AXCsfveQCQ6DpcG4FEA8tBgCF1q,"[""tos-cn-p-0015/okqP9CpA9Q8AXCsfveQCQ6DpcG4FEA8tBgCF1q""]",640,360,tos-cn-i-dy/4df09d783edc4c25807e4cbb2eedd0f1,"[""tos-cn-i-dy/4df09d783edc4c25807e4cbb2eedd0f1""]",720,720,720,720,,,,,,,,
7614409425726892155,2026-05-07 18:42:53.325136,image-cut-tos-priv/c624061aabb8d50f793beff35feed44e,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015c000-ce/ocVFWABtQf9ntARd5fxqXQ9aphxo5DcsqGEwAE,"[""tos-cn-p-0015c000-ce/ocVFWABtQf9ntARd5fxqXQ9aphxo5DcsqGEwAE""]",640,360,tos-cn-i-0813c000-ce/o8DxrQfEABf9pFAAtPiCAHngEqIE0EFw9sCAca,"[""tos-cn-i-0813c000-ce/o8DxrQfEABf9pFAAtPiCAHngEqIE0EFw9sCAca""]",720,720,720,720,,,,,,,,
7614416657586457871,2026-05-07 18:42:56.440982,,,,,,,,,,,,,300,318,,,,,,,,
7614422485593678198,2026-05-07 18:42:58.454579,image-cut-tos-priv/a9c0603701c153a699b432f78b2cced6,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oUIBpqD3RUveABuMAL3AJFSAiGNPrEKIJgfi93,"[""tos-cn-p-0015/oUIBpqD3RUveABuMAL3AJFSAiGNPrEKIJgfi93""]",360,640,tos-cn-i-0813c001/oAZjkrIX6iCQcOIFBSA3FviaE6iADrOAAaAPP,"[""tos-cn-i-0813c001/oAZjkrIX6iCQcOIFBSA3FviaE6iADrOAAaAPP""]",720,720,720,720,,,,,,,,
7614449562345803046,2026-05-07 18:43:05.041840,,,,,,,,,,,,,300,318,,,,,,,,
7614483854670306546,2026-05-07 18:43:07.187893,image-cut-tos-priv/b5bb200d9f4f5ecf9f0b5d4be50288de,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oYsBMfgFLElYoBapAEBSIFIsfQASCBADtDz9rF,"[""tos-cn-p-0015/oYsBMfgFLElYoBapAEBSIFIsfQASCBADtDz9rF""]",360,640,tos-cn-p-0015/ogDfrEY9tIoLAFaAEpBgPQDzFsfAABMsqI2sR1,"[""tos-cn-p-0015/ogDfrEY9tIoLAFaAEpBgPQDzFsfAABMsqI2sR1""]",720,720,720,720,,,,,,,,
7614525888310332707,2026-05-07 18:43:12.823038,image-cut-tos-priv/a6e4cdde30297d93c7a03aaa5e8fcbec,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oAwfHFOPAyv70DqEIfOBf4xImtEBWTOEABCsIi,"[""tos-cn-p-0015/oAwfHFOPAyv70DqEIfOBf4xImtEBWTOEABCsIi""]",640,360,tos-cn-i-dy/6096fb37db6e428fb75ce63c786c7907,"[""tos-cn-i-dy/6096fb37db6e428fb75ce63c786c7907""]",720,720,720,720,,,,,,,,
7614561481413990779,2026-05-07 18:43:19.205636,,,,,,,,,,,,,300,318,,,,,,,,
7614620459602152744,2026-05-07 18:43:21.462757,image-cut-tos-priv/eeb84bbac6f9972926e9a94213a99e94,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/ogEzpKEMTCRspCfXQqIPeAgGBB2y8WeAC7gs65,"[""tos-cn-p-0015/ogEzpKEMTCRspCfXQqIPeAgGBB2y8WeAC7gs65""]",640,360,tos-cn-i-dy/f41c060f53624602ae1bea7232f7cdaa,"[""tos-cn-i-dy/f41c060f53624602ae1bea7232f7cdaa""]",720,720,720,720,,,,,,,,
7614694376580730148,2026-05-07 18:43:24.437150,image-cut-tos-priv/0bc76ebf5f0bdb4abadca77d2a76534f,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/o4DOMEqCOI1rUFZAqC4fCPyGvNFfB9gTspINAA,"[""tos-cn-p-0015/o4DOMEqCOI1rUFZAqC4fCPyGvNFfB9gTspINAA""]",640,360,tos-cn-i-dy/80334155c21244f2bc4171afe69376c4,"[""tos-cn-i-dy/80334155c21244f2bc4171afe69376c4""]",720,720,720,720,,,,,,,,
