crawl_batch_id,crawl_time,target_url,source_page_type,request_url,request_cursor,response_status,response_timestamp,response_headers_raw,network_response_count,runtime_objects_count,primary_source_key,match_type,confidence
20260507_183533,2026-05-07T18:35:33.268410,https://www.douyin.com/video/7599221715415092507,video_detail,https://www.douyin.com/video/7599221715415092507,,200,2026-05-07T18:35:33.268410,,32,,network_response_16,exact,high
20260507_183533,2026-05-07T18:35:42.340998,https://www.douyin.com/video/7599338339879161103,video_detail,https://www.douyin.com/video/7599338339879161103,,200,2026-05-07T18:35:42.340998,,26,,,none,low
20260507_183533,2026-05-07T18:35:45.359685,https://www.douyin.com/video/7599584567191768339,video_detail,https://www.douyin.com/video/7599584567191768339,,200,2026-05-07T18:35:45.359685,,74,1,network_response_27,exact,high
20260507_183533,2026-05-07T18:35:53.698681,https://www.douyin.com/video/7599638774682799410,video_detail,https://www.douyin.com/video/7599638774682799410,,200,2026-05-07T18:35:53.698681,,25,,,none,low
20260507_183533,2026-05-07T18:35:56.633573,https://www.douyin.com/video/7599951353565269282,video_detail,https://www.douyin.com/video/7599951353565269282,,200,2026-05-07T18:35:56.633573,,27,,,none,low
20260507_183533,2026-05-07T18:35:59.085951,https://www.douyin.com/video/7599988168464665910,video_detail,https://www.douyin.com/video/7599988168464665910,,200,2026-05-07T18:35:59.085951,,18,,,none,low
20260507_183533,2026-05-07T18:36:01.361373,https://www.douyin.com/video/7600005088882593058,video_detail,https://www.douyin.com/video/7600005088882593058,,200,2026-05-07T18:36:01.361373,,74,1,network_response_26,exact,high
20260507_183533,2026-05-07T18:36:09.281858,https://www.douyin.com/video/7600020776472825142,video_detail,https://www.douyin.com/video/7600020776472825142,,200,2026-05-07T18:36:09.281858,,28,,network_response_27,exact,high
20260507_183533,2026-05-07T18:36:12.487384,https://www.douyin.com/video/7600042552905337152,video_detail,https://www.douyin.com/video/7600042552905337152,,200,2026-05-07T18:36:12.487384,,68,1,network_response_31,exact,high
20260507_183533,2026-05-07T18:36:19.351428,https://www.douyin.com/video/7600315793322085659,video_detail,https://www.douyin.com/video/7600315793322085659,,200,2026-05-07T18:36:19.351428,,12,,,none,low
20260507_183533,2026-05-07T18:36:22.840785,https://www.douyin.com/video/7600351079540881588,video_detail,https://www.douyin.com/video/7600351079540881588,,200,2026-05-07T18:36:22.840785,,31,,network_response_20,exact,high
20260507_183533,2026-05-07T18:36:28.276284,https://www.douyin.com/video/7600401002751362734,video_detail,https://www.douyin.com/video/7600401002751362734,,200,2026-05-07T18:36:28.276284,,27,,network_response_26,exact,high
20260507_183533,2026-05-07T18:36:31.414780,https://www.douyin.com/video/7600693792320509797,video_detail,https://www.douyin.com/video/7600693792320509797,,200,2026-05-07T18:36:31.414780,,27,,network_response_25,exact,high
20260507_183533,2026-05-07T18:36:34.170493,https://www.douyin.com/video/7601016911404518690,video_detail,https://www.douyin.com/video/7601016911404518690,,200,2026-05-07T18:36:34.170493,,67,1,network_response_29,exact,high
