crawl_batch_id,crawl_time,target_url,source_page_type,request_url,request_cursor,response_status,response_timestamp,response_headers_raw,network_response_count,runtime_objects_count,primary_source_key,match_type,confidence
20260506_203627,2026-05-06T20:36:27.459866,https://www.douyin.com/video/7622473264698314036,video_detail,https://www.douyin.com/video/7622473264698314036,,200,2026-05-06T20:36:27.459866,,48,,network_response_34,exact,high
20260506_203627,2026-05-06T20:36:37.105376,https://www.douyin.com/video/7622305689017351906,video_detail,https://www.douyin.com/video/7622305689017351906,,200,2026-05-06T20:36:37.105376,,75,1,network_response_28,exact,high
20260506_203627,2026-05-06T20:36:48.442169,https://www.douyin.com/video/7619990977893339510,video_detail,https://www.douyin.com/video/7619990977893339510,,200,2026-05-06T20:36:48.442169,,74,1,network_response_67,exact,high
20260506_203627,2026-05-06T20:37:01.643119,https://www.douyin.com/video/7622236469284850970,video_detail,https://www.douyin.com/video/7622236469284850970,,200,2026-05-06T20:37:01.643119,,27,,network_response_25,exact,high
20260506_203627,2026-05-06T20:37:10.148926,https://www.douyin.com/video/7625943440111941754,video_detail,https://www.douyin.com/video/7625943440111941754,,200,2026-05-06T20:37:10.148926,,39,1,network_response_31,exact,high
20260506_203627,2026-05-06T20:37:22.917951,https://www.douyin.com/video/7613388807098143194,video_detail,https://www.douyin.com/video/7613388807098143194,,200,2026-05-06T20:37:22.917951,,36,1,network_response_28,exact,high
20260506_203627,2026-05-06T20:37:36.408648,https://www.douyin.com/video/7628946780247428378,video_detail,https://www.douyin.com/video/7628946780247428378,,200,2026-05-06T20:37:36.408648,,29,1,network_response_27,exact,high
20260506_203627,2026-05-06T20:37:49.779513,https://www.douyin.com/video/7621066610589142322,video_detail,https://www.douyin.com/video/7621066610589142322,,200,2026-05-06T20:37:49.779513,,27,1,,none,low
20260506_203627,2026-05-06T20:38:04.855792,https://www.douyin.com/video/7604806816416927022,video_detail,https://www.douyin.com/video/7604806816416927022,,200,2026-05-06T20:38:04.855792,,32,1,network_response_27,exact,high
20260506_203627,2026-05-06T20:38:18.583050,https://www.douyin.com/video/7598118255686283761,video_detail,https://www.douyin.com/video/7598118255686283761,,200,2026-05-06T20:38:18.583050,,31,,network_response_28,exact,high
