video_id,crawl_time,music_id,music_mid,music_title,music_author,music_owner_id,music_owner_nickname,music_duration,music_shoot_duration,is_original_sound,is_commerce_music,music_status,music_collect_count,music_cover_url_list,music_play_url_list
6773901168964798477,2026-05-09 21:21:00.126708,,,直播间带货榜,,,,,,,,,,,
6773906068725565448,2026-05-09 21:21:08.604012,,,直播间带货榜,,,,,,,,,,,
7289747189515980067,2026-05-09 21:21:11.923994,7289747507247172410,,@李永乐老师创作的原声,李永乐老师,59639995221,李永乐老师,349,,False,,,,,
7309857450302213376,2026-05-09 21:21:15.361218,7309857661602810650,,@Antonyliu创作的原声,Antonyliu,73976690418,Antonyliu,460,,False,,,,,
7361427727863385359,2026-05-09 21:21:25.402767,7361428199655426842,,,可乐猫视界,3338538583337303,可乐猫视界,1001,,False,,,,,
7396829450211446050,2026-05-09 21:21:35.489342,7396829230128040715,,@数致西瓜讲AI创作的原声,数致西瓜讲AI,3356127992753198,数致西瓜讲AI,226,,False,,,,,
7427381362337778980,2026-05-09 21:21:50.662809,,,直播间带货榜,,,,,,,,,,,
7434082518397226249,2026-05-09 21:21:56.032081,7434082619400260362,,@秋芝2046创作的原声,秋芝2046,2931726622135948,秋芝2046,661,,False,,,,,
7436607919690484992,2026-05-09 21:21:59.444641,,,直播间带货榜,,,,,,,,,,,
7436608563918769448,2026-05-09 21:22:02.284691,,,,,,,,,,,,,,
7444105017394482482,2026-05-09 21:22:06.813332,,,直播间带货榜,,,,,,,,,,,
7444362506467872027,2026-05-09 21:22:14.626425,7633812290269170458,,直播间带货榜,彪子动物园,2381999816844996,彪子动物园,116,,False,,,,,
7446264878886554895,2026-05-09 21:22:28.949571,7621484489745795874,,直播间带货榜,叮咚哥,51232083318,叮咚哥,1341,,False,,,,,
7446279061011303732,2026-05-09 21:22:40.118640,7637380753231235846,,,伍解千剧,819564100725786,伍解千剧,716,,False,,,,,
7454910938953698575,2026-05-09 21:22:50.852559,7454913189143137065,,@国际青年公开课创作的原声,国际青年公开课,2291801069987693,国际青年公开课,1139,,False,,,,,
7465919739051642166,2026-05-09 21:23:06.095934,,,直播间带货榜,,,,,,,,,,,
7468609439512235291,2026-05-09 21:23:10.969609,7468610515057543946,,@双一流大学公开课创作的原声,双一流大学公开课,1569735026150861,双一流大学公开课,1634,,False,,,,,
7471153546663169315,2026-05-09 21:23:20.276401,7471154886428986150,,@国际青年公开课创作的原声,国际青年公开课,2291801069987693,国际青年公开课,299,,False,,,,,
7471174464001101090,2026-05-09 21:23:34.434364,7605564405186693926,,直播间带货榜,黄媛媛健身,3491676113614584,黄媛媛健身,27,,False,,,,,
7471634760171834659,2026-05-09 21:23:48.838977,,,直播间带货榜,,,,,,,,,,,
7473095677464136975,2026-05-09 21:24:12.847437,7493179133284813605,,@浙江大学创作的原声,浙江大学,97963912656,浙江大学,3730,,False,,,,,
7476789346587151651,2026-05-09 21:24:20.815147,,,直播间带货榜,,,,,,,,,,,
7483107090936941874,2026-05-09 21:24:23.845391,7483108070223760165,,@百度智能云创作的原声,百度智能云,2207423758342172,百度智能云,4625,,False,,,,,
7485566382344588578,2026-05-09 21:24:32.642810,7493099565902482212,,@浙江大学创作的原声,浙江大学,97963912656,浙江大学,3409,,False,,,,,
7486467317828816166,2026-05-09 21:24:40.436350,,,直播间带货榜,,,,,,,,,,,
7509363148483267874,2026-05-09 21:24:43.627700,,,直播间带货榜,,,,,,,,,,,
7513843872540233023,2026-05-09 21:24:46.852172,,,,,,,,,,,,,,
7514106819482045755,2026-05-09 21:24:50.127529,,,直播间带货榜,,,,,,,,,,,
7517969543269059850,2026-05-09 21:24:53.287551,7517969771476962084,,@秋芝2046创作的原声,秋芝2046,2931726622135948,秋芝2046,2020,,False,,,,,
7518075611806551322,2026-05-09 21:25:01.239314,,,,,,,,,,,,,,
7520905099401497891,2026-05-09 21:25:05.561573,7520905802689891087,,@水七讲大模型创作的原声,水七讲大模型,3472701123732212,水七讲大模型,3445,,False,,,,,
7520939828767132928,2026-05-09 21:25:12.539938,7520939969222183706,,@仓颉编程语言创作的原声,仓颉编程语言,1512581882719389,仓颉编程语言,282,,False,,,,,
7523116377247321383,2026-05-09 21:25:21.572184,7491309992201420854,,@迪哥带你学AI算法创作的原声,迪哥带你学AI算法,7499763308766807099,迪哥带你学AI算法,454,,False,,,,,
7529381510349180223,2026-05-09 21:25:36.072025,7529381652515375891,,@斯坦福机器人庞博士Leo创作的原声,斯坦福机器人庞博士Leo,747323848917437,斯坦福机器人庞博士Leo,3125,,False,,,,,
7531357712618114313,2026-05-09 21:25:41.261735,7531358580432227110,,@老鱼讲AI创作的原声,老鱼讲AI,3432020902417799,老鱼讲AI,3110,,False,,,,,
7532461688206085402,2026-05-09 21:25:50.736452,7532461829092985642,,@吴恩达-AI大模型创作的原声,吴恩达-AI大模型,1444090494059416,吴恩达-AI大模型,2001,,False,,,,,
7533316009105575220,2026-05-09 21:26:04.990983,,,直播间带货榜,,,,,,,,,,,
7533721108269321472,2026-05-09 21:26:09.573481,7533721965794724648,,@斯坦福机器人庞博士Leo创作的原声,斯坦福机器人庞博士Leo,747323848917437,斯坦福机器人庞博士Leo,3608,,False,,,,,
7536515789558451495,2026-05-09 21:26:21.412865,,,直播间带货榜,,,,,,,,,,,
7539019622574525736,2026-05-09 21:26:26.441251,,,直播间带货榜,,,,,,,,,,,
7540659036979514643,2026-05-09 21:26:30.981092,7540659300277046058,,@ZOMI酱创作的原声,ZOMI酱,3765182212624168,ZOMI酱,1816,,False,,,,,
7542449576419020083,2026-05-09 21:26:40.613733,,,直播间带货榜,,,,,,,,,,,
7542468244687293715,2026-05-09 21:26:44.009910,7542468247719922475,,@AI智库创作的原声,AI智库,7411852413869671481,AI智库,186,,False,,,,,
7542804279636069667,2026-05-09 21:26:46.693863,7542804177187605263,,@深度学习工程师创作的原声,深度学习工程师,7524649017218434105,深度学习工程师,179,,False,,,,,
7542842698634431783,2026-05-09 21:26:55.443332,7542842732436310838,,@AI大模型教程创作的原声,AI大模型教程,7542343451725448249,AI大模型教程,195,,False,,,,,
7542847691571744000,2026-05-09 21:27:10.521394,7542847843631926062,,@深度学习工程师创作的原声,深度学习工程师,7524649017218434105,深度学习工程师,345,,False,,,,,
7543076811148676379,2026-05-09 21:27:21.839303,7543076802495810345,,@AI课程研究院创作的原声,AI课程研究院,7524625866836902971,AI课程研究院,393,,False,,,,,
7543115485139782958,2026-05-09 21:27:24.859864,7543115623648414505,,@AI课程研究院创作的原声,AI课程研究院,7524625866836902971,AI课程研究院,4071,,False,,,,,
7543152714943876387,2026-05-09 21:27:36.122281,7543152792601725705,,@深度学习工程师创作的原声,深度学习工程师,7524649017218434105,深度学习工程师,157,,False,,,,,
7543185221487693090,2026-05-09 21:27:41.086463,,,直播间带货榜,,,,,,,,,,,
7543189889081249074,2026-05-09 21:27:44.508416,7543189977706908426,,@AI课程研究院创作的原声,AI课程研究院,7524625866836902971,AI课程研究院,260,,False,,,,,
7543215101344517439,2026-05-09 21:27:51.287562,7543215163076627251,,@AI智库创作的原声,AI智库,7411852413869671481,AI智库,140,,False,,,,,
7543224564684197120,2026-05-09 21:27:58.120688,,,,,,,,,,,,,,
7543503016624655654,2026-05-09 21:28:00.469323,7543503092182551347,,@真想教会你AI创作的原声,真想教会你AI,7524651291906245691,真想教会你AI,169,,False,,,,,
7543520466653236530,2026-05-09 21:28:17.413061,7543520519438584639,,@AI课程研究院创作的原声,AI课程研究院,7524625866836902971,AI课程研究院,219,,False,,,,,
7543581458393337103,2026-05-09 21:28:36.628606,7543581926087756587,,@新媒沈阳创作的原声,新媒沈阳,721700892993743,新媒沈阳,2226,,False,,,,,
7543906254733823284,2026-05-09 21:28:45.810154,,,直播间带货榜,,,,,,,,,,,
7544038150016929058,2026-05-09 21:28:49.389789,7544039205383473946,,@新媒沈阳创作的原声,新媒沈阳,721700892993743,新媒沈阳,3189,,False,,,,,
