sample_id,video_id,author_id,duration_ms,digg_count,comment_count,share_count,collect_count,play_count,recommend_count,admire_count,is_top,is_ads,is_life_item,original,aweme_type,media_type,create_time,follower_count,total_favorited,verification_type,author_status,author_secret,author_prevent_download,origin_cover_width,origin_cover_height,has_watermark,desc_length,desc_word_count,signature_length,avg_comment_text_length,region,music_title,music_author,hashtag_name_top,video_tag_list_str,hashtag_count,video_tag_count,comment_table_count,max_comment_digg_count,chapter_count,related_video_count,author_id_x_top_hashtag,author_id_x_music_title,duration_bucket_x_top_hashtag,has_watermark_x_duration_bucket,interaction_score,label,split
7626584955816021274,7626584955816021274,438357cd-37c6-1039-bec7-897b1b0c451a,811,37189,1229,8729,9043,0,0,0,0,False,False,0,0,4,-843159423,-1,-1,-1,1,0,False,640,360,False,75,74,0,7.5,CN,直播间带货榜,,韩剧,美食 | 时尚,5.0,2,2,206,3,6,438357cd-37c6-1039-bec7-897b1b0c451a_x_韩剧,438357cd-37c6-1039-bec7-897b1b0c451a_x_直播间带货榜,short_x_韩剧,False_x_short,56190.0,1,train
7626684177663986971,7626684177663986971,99718787746,589,13865,253,979,2604,0,0,0,0,False,False,0,0,4,1775725791,771686,4132102,1,1,0,False,640,360,False,19,16,16,7.5,CN,@篮球上将创作的原声,篮球上将,科比,运动 | 时尚 | 游戏,4.0,3,4,484,1,6,99718787746_x_科比,99718787746_x_@篮球上将创作的原声,short_x_科比,False_x_short,17701.0,0,train
7626700596619348401,7626700596619348401,59329163612,651,1545,79,89,223,0,0,0,0,False,False,0,0,4,1775729609,1363771,10101154,1,1,0,False,640,360,False,33,31,33,8.0,CN,@行走世界的北京老刘创作的原声,行走世界的北京老刘,海岛旅行,科技 | 旅行,3.0,2,3,177,2,6,59329163612_x_海岛旅行,59329163612_x_@行走世界的北京老刘创作的原声,short_x_海岛旅行,False_x_short,1936.0,0,train
7627071685094657299,7627071685094657299,7597737761702331441,199467,5577,201,667,1682,0,0,0,0,False,False,0,0,4,1775816016,1172,44172,1,1,0,False,640,360,False,55,51,22,9.0,CN,Soul Below,,L,萌宠 | 娱乐,4.0,2,2,256,3,6,7597737761702331441_x_L,7597737761702331441_x_Soul Below,medium_x_L,False_x_medium,8127.0,0,train
7627097855253089579,7627097855253089579,4330305111468175,188918,11236,238,604,9170,0,0,0,0,False,False,0,0,4,1775822112,35535,314779,1,1,0,False,640,360,False,26,22,68,8.0,CN,@番剧解语花创作的原声,番剧解语花,喜羊羊与灰太狼,游戏 | 音乐 | 时尚,5.0,3,3,203,3,6,4330305111468175_x_喜羊羊与灰太狼,4330305111468175_x_@番剧解语花创作的原声,medium_x_喜羊羊与灰太狼,False_x_medium,21248.0,0,train
7627138316899056603,7627138316899056603,3525448837659146,320034,51160,608,2487,7176,0,0,0,0,False,False,0,0,4,1775831524,129481,2587629,1,1,0,False,360,640,False,22,20,214,8.333333333333334,CN,@凶猛的清余创作的原声,凶猛的清余,cos假发,娱乐 | 科技 | 旅行,5.0,3,3,362,1,6,3525448837659146_x_cos假发,3525448837659146_x_@凶猛的清余创作的原声,long_x_cos假发,False_x_long,61431.0,1,train
7627193816662936883,7627193816662936883,731605969685483,246500,1343,46,151,1235,0,0,0,0,False,False,0,0,4,1775881560,1791,25222,1,1,0,False,640,360,False,94,90,13,7.5,CN,@萌苒派对创作的原声,萌苒派对,动漫美食复刻,美食 | 娱乐 | 旅行,5.0,3,2,381,3,6,731605969685483_x_动漫美食复刻,731605969685483_x_@萌苒派对创作的原声,medium_x_动漫美食复刻,False_x_medium,2775.0,0,train
7627326318220201258,7627326318220201258,64637072394,1073,463970,2912,51631,70716,0,0,0,0,False,False,0,0,4,1775876149,2188496,21060165,1,1,0,False,640,360,False,0,0,23,8.666666666666666,CN,@异常收录档案创作的原声,异常收录档案,,旅行 | 知识科普,,2,3,444,1,6,64637072394_x_NA,64637072394_x_@异常收录档案创作的原声,short_x_NA,False_x_short,589229.0,1,train
7627441271367290164,7627441271367290164,2561178482012730,381,1839,60,74,654,0,0,0,0,False,False,0,0,4,1775902064,22488,831453,1,1,0,False,640,360,False,17,15,27,10.0,CN,@动漫城邦创作的原声,动漫城邦,轮回眼佐助,旅行,3.0,1,4,272,2,6,2561178482012730_x_轮回眼佐助,2561178482012730_x_@动漫城邦创作的原声,short_x_轮回眼佐助,False_x_short,2627.0,0,train
7627472380595910747,7627472380595910747,1174708630333469,1549,5217,266,709,1177,0,0,0,0,False,False,0,0,4,1775909304,47152,322980,1,1,0,False,640,360,False,45,44,73,9.0,CN,@户外探索者创作的原声,户外探索者,雨中露营,生活记录 | 知识科普 | 美食,4.0,3,4,458,3,6,1174708630333469_x_雨中露营,1174708630333469_x_@户外探索者创作的原声,short_x_雨中露营,False_x_short,7369.0,0,train
