source_node_id,target_node_id,source_raw_id,target_raw_id,edge_type,is_reverse
8019,1577,video::7632159746316864808,video::7615255608496786740,video_related_video,True
1577,2370,video::7615255608496786740,video::7620690099075812642,video_related_video,False
2370,1577,video::7620690099075812642,video::7615255608496786740,video_related_video,True
1577,4056,video::7615255608496786740,video::7618603806724558134,video_related_video,False
4056,1577,video::7618603806724558134,video::7615255608496786740,video_related_video,True
1577,9220,video::7615255608496786740,video::7610913617659170082,video_related_video,False
9220,1577,video::7610913617659170082,video::7615255608496786740,video_related_video,True
1577,5959,video::7615255608496786740,video::7635359443797986602,video_related_video,False
5959,1577,video::7635359443797986602,video::7615255608496786740,video_related_video,True
1577,12047,video::7615255608496786740,video::7624960541341093172,video_related_video,False
12047,1577,video::7624960541341093172,video::7615255608496786740,video_related_video,True
1578,12048,video::7615257397350649097,video::7618415785463509114,video_related_video,False
12048,1578,video::7618415785463509114,video::7615257397350649097,video_related_video,True
1578,12049,video::7615257397350649097,video::7623373285882858788,video_related_video,False
12049,1578,video::7623373285882858788,video::7615257397350649097,video_related_video,True
1578,12050,video::7615257397350649097,video::7627464517894638857,video_related_video,False
12050,1578,video::7627464517894638857,video::7615257397350649097,video_related_video,True
1578,12051,video::7615257397350649097,video::7613338540067409161,video_related_video,False
12051,1578,video::7613338540067409161,video::7615257397350649097,video_related_video,True
1578,9448,video::7615257397350649097,video::7613049850380193030,video_related_video,False
9448,1578,video::7613049850380193030,video::7615257397350649097,video_related_video,True
1578,12052,video::7615257397350649097,video::7617856792231480602,video_related_video,False
12052,1578,video::7617856792231480602,video::7615257397350649097,video_related_video,True
1578,12053,video::7615257397350649097,video::7622836961773980955,video_related_video,False
12053,1578,video::7622836961773980955,video::7615257397350649097,video_related_video,True
1578,12054,video::7615257397350649097,video::7619745678561971471,video_related_video,False
12054,1578,video::7619745678561971471,video::7615257397350649097,video_related_video,True
1578,5959,video::7615257397350649097,video::7635359443797986602,video_related_video,False
5959,1578,video::7635359443797986602,video::7615257397350649097,video_related_video,True
1578,10981,video::7615257397350649097,video::7619893118904585508,video_related_video,False
10981,1578,video::7619893118904585508,video::7615257397350649097,video_related_video,True
1579,2566,video::7615258478839467279,video::7622578392285596947,video_related_video,False
2566,1579,video::7622578392285596947,video::7615258478839467279,video_related_video,True
