epoch,train_loss,val_loss,auc,accuracy,precision,recall,f1,is_best
1,0.655729,0.538776,0.7643333333333332,0.7013333333333334,0.6073446327683616,0.7166666666666667,0.6574923547400612,True
2,0.562045,0.499278,0.8044370370370371,0.7106666666666667,0.6106666666666667,0.7633333333333333,0.6785185185185185,True
3,0.538255,0.493782,0.813088888888889,0.72,0.6190476190476191,0.78,0.6902654867256637,True
4,0.526667,0.49214,0.814237037037037,0.7186666666666667,0.6143958868894601,0.7966666666666666,0.6937590711175616,True
5,0.521442,0.486034,0.819962962962963,0.7293333333333333,0.6314363143631436,0.7766666666666666,0.6965620328849028,True
6,0.515427,0.484707,0.8224518518518518,0.736,0.6408839779005525,0.7733333333333333,0.7009063444108762,True
7,0.508023,0.483744,0.8216444444444444,0.7293333333333333,0.6314363143631436,0.7766666666666666,0.6965620328849028,True
8,0.498528,0.485546,0.8229111111111111,0.736,0.6473988439306358,0.7466666666666667,0.6934984520123839,False
9,0.49512,0.487671,0.8211185185185185,0.72,0.6243093922651933,0.7533333333333333,0.6827794561933535,False
10,0.497399,0.485353,0.8226296296296296,0.7346666666666667,0.6472303206997084,0.74,0.6905132192846034,False
11,0.487771,0.481218,0.8251481481481482,0.7373333333333333,0.6584615384615384,0.7133333333333334,0.6848,True
12,0.481414,0.484728,0.8247333333333333,0.7333333333333333,0.6445086705202312,0.7433333333333333,0.6904024767801857,False
13,0.478126,0.481517,0.826162962962963,0.7333333333333333,0.6497005988023952,0.7233333333333334,0.6845425867507886,False
14,0.475255,0.483868,0.8259925925925926,0.7346666666666667,0.6498516320474778,0.73,0.6875981161695447,False
15,0.468224,0.482898,0.8287481481481481,0.7346666666666667,0.6489675516224189,0.7333333333333333,0.6885758998435054,False
16,0.458682,0.483915,0.8274074074074074,0.7293333333333333,0.6465256797583081,0.7133333333333334,0.6782884310618067,False
17,0.455007,0.486108,0.8295111111111111,0.736,0.6482558139534884,0.7433333333333333,0.6925465838509317,False
18,0.450747,0.486683,0.8305111111111112,0.7333333333333333,0.6644736842105263,0.6733333333333333,0.6688741721854304,False
19,0.44757,0.486224,0.8276,0.7306666666666667,0.649390243902439,0.71,0.678343949044586,False
20,0.441062,0.486099,0.8308444444444445,0.74,0.6688102893890675,0.6933333333333334,0.6808510638297872,False
21,0.431898,0.488898,0.8311333333333333,0.7413333333333333,0.6666666666666666,0.7066666666666667,0.686084142394822,False
