sample_id,video_id,author_id,interaction_score,duration_ms,create_time,aweme_type,media_type,is_top,is_ads,is_life_item,original,region,follower_count,total_favorited,verification_type,music_duration,is_original_sound,video_width,video_height,origin_cover_width,origin_cover_height,can_comment,can_share,allow_download,allow_duet,allow_stitch,private_status,review_status,publish_hour,publish_weekday,desc_length,desc_word_count,caption_length,signature_length,nickname_length,music_title_length,avg_comment_text_length,hashtag_name_top,hashtag_count,video_tag_count,comment_table_count,chapter_count,related_video_count,comment_user_count,cover_url_count,origin_cover_url_count,dynamic_cover_url_count,duration_bucket_x_top_hashtag,label,split
6773901168964798477,6773901168964798477,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0.0,0.0,1778165681191,0.0,0.0,0.0,__MISSING__,__MISSING__,0.0,__MISSING__,0.0,0.0,0.0,0.0,__MISSING__,300,318,0.0,0.0,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,0.0,0.0,0.0,0.0,38,38,0,0,2,6,0.0,__MISSING__,0.0,0,0.0,0,0.0,0.0,0,0,0,unknown_x___MISSING__,0,train
6773906068725565448,6773906068725565448,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0.0,0.0,1778165681191,0.0,0.0,0.0,__MISSING__,__MISSING__,0.0,__MISSING__,0.0,0.0,0.0,0.0,__MISSING__,300,318,0.0,0.0,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,0.0,0.0,0.0,0.0,38,38,0,0,2,6,0.0,__MISSING__,0.0,0,0.0,0,0.0,0.0,0,0,0,unknown_x___MISSING__,0,train
7289747189515980067,7289747189515980067,59639995221,12288.0,349134.0,1697276562,0.0,4.0,0.0,False,False,0.0,__MISSING__,16916990.0,45044034.0,1.0,349.0,False,720,720,640.0,360.0,True,True,False,False,False,0.0,0.0,9.0,5.0,30,28,0,164,5,11,0.0,抖音精选公开课,2.0,0,0.0,0,0.0,0.0,1,1,1,long_x_抖音精选公开课,0,train
7396829450211446050,7396829450211446050,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0.0,0.0,1778165681191,0.0,0.0,0.0,__MISSING__,__MISSING__,0.0,__MISSING__,0.0,0.0,0.0,0.0,__MISSING__,300,318,0.0,0.0,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,0.0,0.0,0.0,0.0,38,38,0,0,2,6,0.0,__MISSING__,0.0,0,0.0,0,0.0,0.0,0,0,0,unknown_x___MISSING__,0,train
7434082518397226249,7434082518397226249,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0.0,0.0,1778165681191,0.0,0.0,0.0,__MISSING__,__MISSING__,0.0,__MISSING__,0.0,0.0,0.0,0.0,__MISSING__,300,318,0.0,0.0,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,0.0,0.0,0.0,0.0,38,38,0,0,2,6,0.0,__MISSING__,0.0,0,0.0,0,0.0,0.0,0,0,0,unknown_x___MISSING__,0,train
7436607919690484992,7436607919690484992,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0.0,0.0,1778165681191,0.0,0.0,0.0,__MISSING__,__MISSING__,0.0,__MISSING__,0.0,0.0,0.0,0.0,__MISSING__,300,318,0.0,0.0,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,0.0,0.0,0.0,0.0,38,38,0,0,2,6,0.0,__MISSING__,0.0,0,0.0,0,0.0,0.0,0,0,0,unknown_x___MISSING__,0,train
7444362506467872027,7444362506467872027,102334023579,245701.0,17680510.0,1733284800,0.0,4.0,0.0,False,False,0.0,__MISSING__,10257857.0,75308887.0,1.0,254.0,True,720,720,640.0,360.0,True,True,False,True,False,0.0,0.0,4.0,2.0,244,235,204,11,4,6,20.2,抖音年终知识大赏,6.0,0,5.0,0,10.0,5.0,1,1,1,very_long_x_抖音年终知识大赏,1,train
7446264878886554895,7446264878886554895,93117380677,13250.0,26178320.0,1733788800,0.0,4.0,0.0,False,False,0.0,__MISSING__,21079.0,44935.0,1.0,254.0,True,720,720,640.0,360.0,True,True,False,True,False,0.0,0.0,0.0,1.0,6,6,47,30,7,6,14.6,强化学习,7.0,0,5.0,0,10.0,5.0,1,1,1,very_long_x_强化学习,0,train
7446279061011303732,7446279061011303732,110107418620,7129.0,34709559.0,1733788800,0.0,4.0,0.0,False,True,0.0,__MISSING__,6867.0,11988.0,1.0,0.0,__MISSING__,720,720,640.0,360.0,True,True,False,True,False,0.0,0.0,0.0,1.0,2,2,36,86,5,0,0.0,AI在抖音,6.0,0,0.0,0,0.0,0.0,1,1,1,very_long_x_AI在抖音,0,train
7465919739051642166,7465919739051642166,111569815525,23766.0,559881.0,1768803225,0.0,4.0,0.0,False,False,0.0,CN,206799.0,501312.0,1.0,559.0,False,720,720,640.0,360.0,True,True,False,True,False,0.0,0.0,6.0,0.0,2,2,32,14,16,19,50.2,__MISSING__,0.0,0,5.0,0,10.0,5.0,1,1,1,long_x___MISSING__,1,train
