video_id,page_url,author_id,author_name,author_profile_url,desc_text,publish_time_raw,publish_time_std,like_count_raw,comment_count_raw,share_count_raw,collect_count,hashtag_list,hashtag_count,cover_url,music_name,duration_sec,author_follower_count,author_total_favorited,author_signature,author_verification_type,risk_warning_text,video_cover_url,dynamic_cover_url,origin_cover_url,bitrate_count,source_entry,match_type,confidence,selected_reason,is_primary_match,matched_object_id,crawl_time
7627399396702850340,https://www.douyin.com/video/7627399396702850340,1090355730318606,姜Dora在此,https://www.douyin.com/user/MS4wLjABAAAAN072cpRG6Ascc27mTfEvKj07hvclZfsDrjCqg3PzHZTYZ0WEknPaW61-qYa422MH,#搞钱#唯品会419特卖节#我的春日搭子#姜Dora,1775905226,2026-04-11 19:00:26,467427,7180,142969,187318,"['搞钱', '唯品会419特卖节', '我的春日搭子', '姜Dora']",4,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/cb16e73369684963f13014c5e97e69ba~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2092042800&x-signature=l9RCdoUZ%2FpzmGEsZ4Qxoqrv3fXU%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=cover&biz_tag=pcweb_cover&l=2026042019273697A203C470E710ABCBF1,@姜Dora在此创作的原声,1411,3213576,20279993,"🙋‍♀️治愈系职场博主 愿你早日成为自己喜欢的大人
✍️为职场年轻人提供精神力量和解决方案
🤝商务V：ming-8065（备注品牌）",1,,https://p9-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777892400&x-signature=X9elwoZq%2FZEQomKXg6v0HNLvW%2Bs%3D&from=327834062,tos-cn-i-dy/013036c7e8494671a1adbab41b97a330,tos-cn-p-0015/oAufWCGNQLANQlEZSAI0U7DYCDeee2YznLsmAF,,manual_url,exact,high,exact_video_id_match,True,7627399396702850340,2026-04-20 19:27:31.726180
7611847988500125605,https://www.douyin.com/video/7611847988500125605,2488931339482264,Aira,zhangjiani0213,霉霉和侃爷的beef档案#taylorswift #kanye #霉霉 #音乐 #来汽水听宝藏歌单,1772330488,2026-03-01 10:01:28,6706,2187,9336,15430,[],0,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/d15a71ca91e80d63ac6c1074174391d5~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2092042800&x-signature=ZMeJBRg0YS948dCq0NqPmPlL1k0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=cover&biz_tag=pcweb_cover&l=20260420192741048A8E7CBE47E344F758,@黑泡泡频道创作的原声,681,49890,2034279,"看什么看
赶紧关注啊bro
招剪辑 （高薪）  
剪辑、商务：softf0143",1,,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777892400&x-signature=0nH9%2Brr9UfieXo8rl4lPImJKrpQ%3D&from=327834062,tos-cn-i-0813c000-ce/o0CADKv7IEP2qvCkAMaiAiBq1oiPBAaHWAtA3,tos-cn-p-0015c000-ce/oEpF9ryJpQoDAJE8bBoFfNaEQlDCVFAo3wfau3,,manual_url,exact,high,exact_video_id_match,True,7611847988500125605,2026-04-20 19:27:40.789698
7626773012901598607,https://www.douyin.com/video/7626773012901598607,2963879239094627,第二内核,https://www.douyin.com/user/MS4wLjABAAAAr3UjYG_qnzpObHO9rOOv9y1mRaFcvxVD-rU7M8i9IktA1N79Wcc2x2IzP8Ows2pZ,烂系统不会变好，你先别把命赔进去！教你三招清醒套利。 #职场真相 #老板思维 #人性博弈 #搞钱逻辑 #狠人进化论,1775746470,2026-04-09 22:54:30,1499,59,682,1087,"['职场真相', '老板思维', '人性博弈', '搞钱逻辑', '狠人进化论']",5,https://p9-pc-sign.douyinpic.com/image-cut-tos-priv/1dd3fdb3634ff2cd64a52441a12d85cd~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2092042800&x-signature=2N88R9ZhHu4aSYzdssuXRxhx3tY%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=cover&biz_tag=pcweb_cover&l=202604201927592B5DBE70FA70AD13973A,@第二内核创作的原声,397,106139,301924,"我不治愈你，只带你看清那些你一直想逃开的部分。如果你也在试着重新启动自己，这里是你的备用系统。——第二内核 重启的系统方法论，
见橱窗「狠人模型」",1,,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777892400&x-signature=0nH9%2Brr9UfieXo8rl4lPImJKrpQ%3D&from=327834062,tos-cn-i-0813/og87hBsNQVNvaACeiZEyAeSeAAXwBTA3rgMaAQ,tos-cn-p-0015/oYsKMA86arAEx976BNAgBcWQfFa6HTeqMfB3CB,,manual_url,exact,high,exact_video_id_match,True,7626773012901598607,2026-04-20 19:27:53.368255
