epoch,train_loss,val_loss,auc,accuracy,precision,recall,f1,is_best
1,0.50007,0.456608,0.8362592592592593,0.7346666666666667,0.6193853427895981,0.8733333333333333,0.7247579529737206,True
2,0.45259,0.462171,0.8341999999999999,0.752,0.6748466257668712,0.7333333333333333,0.7028753993610224,False
3,0.451142,0.454532,0.8394666666666668,0.76,0.6775147928994083,0.7633333333333333,0.7178683385579937,True
4,0.441277,0.463836,0.8310814814814815,0.7346666666666667,0.6747404844290658,0.65,0.6621392190152802,False
5,0.435498,0.454242,0.8413185185185186,0.7466666666666667,0.6676829268292683,0.73,0.697452229299363,True
6,0.426,0.468859,0.8360814814814816,0.7466666666666667,0.6774193548387096,0.7,0.6885245901639344,False
7,0.417688,0.463372,0.8373851851851851,0.76,0.7238805970149254,0.6466666666666666,0.6830985915492958,False
8,0.42935,0.469539,0.8304888888888888,0.752,0.6706586826347305,0.7466666666666667,0.7066246056782335,False
9,0.406695,0.478116,0.8400074074074073,0.7586666666666667,0.7262357414448669,0.6366666666666667,0.6785079928952042,False
10,0.384617,0.476775,0.8347259259259259,0.7453333333333333,0.6847457627118644,0.6733333333333333,0.6789915966386555,False
11,0.371856,0.517108,0.8300814814814815,0.7533333333333333,0.6837060702875399,0.7133333333333334,0.6982055464926591,False
12,0.349853,0.519448,0.8298518518518518,0.7493333333333333,0.6904761904761905,0.6766666666666666,0.6835016835016835,False
13,0.308804,0.560315,0.824111111111111,0.732,0.6701030927835051,0.65,0.6598984771573604,False
14,0.273266,0.646498,0.8234555555555556,0.7293333333333333,0.641399416909621,0.7333333333333333,0.6842923794712286,False
15,0.253583,0.6341,0.8106814814814814,0.7253333333333334,0.6865079365079365,0.5766666666666667,0.6268115942028986,False
