model_name,run_id,score_min,score_max,score_mean,score_std,score_median,pred_positive_count,pred_positive_rate,label_positive_count,label_positive_rate
dnn,202604291103,0.48441574,0.69953454,0.53248087125,0.05611562535279533,0.5118029,11,0.6875,6,0.375
wide_deep,202604291505,0.38693216,0.7833792,0.550556885,0.08064302085841403,0.5408243500000001,15,0.9375,6,0.375
graphsage,202604291958,0.30517367,0.99679285,0.51735608625,0.20643226692125033,0.442140295,5,0.3125,6,0.375
multimodal,202604292059,0.235173225402832,0.6588623523712158,0.35739784594625235,0.14920448312489387,0.25304979085922236,4,0.25,6,0.375
