trial_id,status,learning_rate,weight_decay,dropout,hidden_dim,batch_size,best_epoch,val_auc,val_f1,test_auc,test_f1,output_dir
16,completed,0.005177405940287037,0.009097973559236023,0.1234940870062332,16,64,39,0.997962962962963,0.9661016949152542,0.9944444444444445,0.9107142857142857,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_16\202605090011
17,completed,0.0015495076811909599,1.806976584623375e-05,0.3268199033457796,32,64,47,0.9977777777777778,0.9482758620689655,0.9809259259259259,0.9203539823008849,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_17\202605090012
12,completed,0.0015621472732026262,0.0001562903840993,0.3486013038503751,16,64,49,0.9970370370370369,0.9473684210526315,0.9835185185185185,0.9217391304347826,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_12\202605090010
18,completed,0.0021020182044161474,0.006821150061237988,0.4553581705266707,64,64,50,0.9964814814814815,0.9217391304347826,0.9883333333333333,0.9009009009009009,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_18\202605090012
8,completed,0.0024682375016404625,0.00026720138612438047,0.23804023146691689,32,128,45,0.9957407407407407,0.9572649572649573,0.9811111111111112,0.9298245614035088,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_8\202605090009
5,completed,0.0003779640814138302,5.292346161287251e-05,0.36527224818903814,64,32,50,0.9937037037037038,0.9090909090909091,0.9805555555555556,0.9090909090909091,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_5\202605090008
10,completed,0.0012245728047051874,1.8000364896732537e-05,0.20462121852472,16,128,50,0.9933333333333333,0.9090909090909091,0.9748148148148148,0.8909090909090909,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_10\202605090010
15,completed,0.0003615369279632556,2.023851557056343e-05,0.2999820089644776,16,32,50,0.9842592592592592,0.8888888888888888,0.9701851851851852,0.8155339805825242,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_15\202605090011
3,completed,0.0008083741409469084,0.001025482818401491,0.3060614785289407,32,128,49,0.9837037037037036,0.8888888888888888,0.975,0.8679245283018868,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_3\202605090007
4,completed,0.00022138165825686851,2.2659473425881835e-05,0.21115968620006365,16,32,50,0.9707407407407408,0.8598130841121495,0.9357407407407408,0.780952380952381,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_4\202605090008
9,completed,0.0004899278453006035,5.383329447720428e-05,0.46017983960168884,16,32,50,0.9659259259259259,0.8269230769230769,0.9324074074074074,0.7647058823529411,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_9\202605090009
2,completed,0.0009085616637549492,1.5603106378311517e-05,0.48678488006495624,64,128,50,0.9516666666666667,0.8288288288288288,0.9087037037037037,0.7747747747747747,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_2\202605090007
6,completed,0.00022034627071148058,2.88883810862242e-05,0.17815903994862162,32,64,50,0.8838888888888888,0.7394957983193278,0.8425925925925926,0.7096774193548387,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_6\202605090008
14,completed,0.0005389301909117451,4.6246894179226835e-05,0.10072094144272761,16,128,50,0.88,0.7238095238095238,0.842037037037037,0.6476190476190476,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_14\202605090011
1,completed,0.00011607855761024287,0.0014523556662043246,0.46205753467086963,64,32,50,0.8798148148148148,0.7058823529411765,0.8338888888888889,0.6476190476190476,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_1\202605090007
19,completed,3.0256796060840436e-05,0.006141130598129257,0.10945297146871043,16,32,50,0.8533333333333333,0.26666666666666666,0.7857407407407407,0.275,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_19\202605090012
7,completed,0.00020227372290614528,1.584769174034156e-05,0.18376644849448784,64,128,19,0.8094444444444444,0.32098765432098764,0.7498148148148148,0.3448275862068966,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_7\202605090009
11,completed,4.826984860894293e-05,9.385151593312856e-05,0.3320113812082225,32,32,1,0.6870370370370371,0.09090909090909091,0.5705555555555555,0.05970149253731343,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_11\202605090010
0,completed,3.441949079328263e-05,0.0003627877907172374,0.28690736045739407,16,64,50,0.4494444444444444,0.21621621621621623,0.45944444444444443,0.2542372881355932,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_0\202605090006
13,completed,0.00018221317673909864,9.534956403457612e-05,0.28798836496246794,16,128,16,0.3683333333333334,0.14,0.39037037037037037,0.20952380952380953,outputs\tuning\multimodal\real_raw_1000\20260509000636\trial_13\202605090010
