epoch,train_loss,val_loss,auc,accuracy,precision,recall,f1,is_best
1,2.631237,0.549747,0.8614814814814815,0.7733333333333333,0.6547619047619048,0.9166666666666666,0.7638888888888888,True
2,0.738604,0.528483,0.9003703703703705,0.6533333333333333,0.9,0.15,0.2571428571428571,True
3,0.531903,0.480738,0.9181481481481482,0.8,0.9166666666666666,0.55,0.6875,True
4,0.45797,0.397774,0.9337037037037037,0.8666666666666667,0.8846153846153846,0.7666666666666667,0.8214285714285714,True
5,0.371224,0.308978,0.9655555555555556,0.88,0.9772727272727273,0.7166666666666667,0.8269230769230769,True
6,0.292401,0.24801,0.9716666666666667,0.9133333333333333,0.9433962264150944,0.8333333333333334,0.8849557522123894,True
7,0.240121,0.218134,0.9801851851851852,0.9133333333333333,0.9795918367346939,0.8,0.8807339449541285,True
8,0.217225,0.203576,0.9792592592592593,0.92,0.9444444444444444,0.85,0.8947368421052632,True
9,0.19789,0.191542,0.9829629629629629,0.9266666666666666,0.9622641509433962,0.85,0.9026548672566371,True
10,0.184237,0.192924,0.9914814814814815,0.9133333333333333,1.0,0.7833333333333333,0.8785046728971962,False
11,0.17046,0.189123,0.9794444444444445,0.9266666666666666,0.9622641509433962,0.85,0.9026548672566371,True
12,0.159991,0.155044,0.9944444444444444,0.9333333333333333,1.0,0.8333333333333334,0.9090909090909091,True
13,0.15544,0.175882,0.9825925925925926,0.94,0.9636363636363636,0.8833333333333333,0.9217391304347826,False
14,0.161037,0.168368,0.9927777777777778,0.9333333333333333,1.0,0.8333333333333334,0.9090909090909091,False
15,0.165294,0.165635,0.9864814814814815,0.94,0.9811320754716981,0.8666666666666667,0.9203539823008849,False
16,0.159783,0.158091,0.9914814814814815,0.94,0.9811320754716981,0.8666666666666667,0.9203539823008849,False
17,0.141861,0.144998,0.995,0.9466666666666667,0.9814814814814815,0.8833333333333333,0.9298245614035088,True
18,0.14786,0.151455,0.9948148148148148,0.9266666666666666,0.9803921568627451,0.8333333333333334,0.9009009009009009,False
19,0.14988,0.151752,0.995,0.9266666666666666,1.0,0.8166666666666667,0.8990825688073395,False
20,0.135448,0.145653,0.9918518518518519,0.94,0.9811320754716981,0.8666666666666667,0.9203539823008849,False
21,0.129277,0.127822,0.9972222222222222,0.9466666666666667,1.0,0.8666666666666667,0.9285714285714286,True
22,0.136802,0.14643,0.9964814814814815,0.9333333333333333,1.0,0.8333333333333334,0.9090909090909091,False
23,0.129995,0.133203,0.9957407407407407,0.94,0.9811320754716981,0.8666666666666667,0.9203539823008849,False
24,0.132516,0.132409,0.9951851851851852,0.96,0.9821428571428571,0.9166666666666666,0.9482758620689655,False
25,0.123841,0.136636,0.9942592592592593,0.9533333333333334,0.9649122807017544,0.9166666666666666,0.9401709401709402,False
26,0.121926,0.130183,0.9951851851851852,0.94,0.9811320754716981,0.8666666666666667,0.9203539823008849,False
27,0.123792,0.124693,0.9975925925925926,0.9466666666666667,1.0,0.8666666666666667,0.9285714285714286,True
28,0.118859,0.126798,0.9955555555555555,0.96,0.9655172413793104,0.9333333333333333,0.9491525423728814,False
29,0.124087,0.121451,0.9953703703703703,0.9666666666666667,1.0,0.9166666666666666,0.9565217391304348,True
30,0.122076,0.122135,0.9962962962962963,0.96,1.0,0.9,0.9473684210526315,False
31,0.11671,0.119731,0.9957407407407407,0.9533333333333334,0.9649122807017544,0.9166666666666666,0.9401709401709402,True
32,0.104908,0.115526,0.9979629629629629,0.9666666666666667,1.0,0.9166666666666666,0.9565217391304348,True
33,0.134381,0.135899,0.9959259259259259,0.9333333333333333,1.0,0.8333333333333334,0.9090909090909091,False
34,0.141132,0.153761,0.9953703703703703,0.9266666666666666,1.0,0.8166666666666667,0.8990825688073395,False
35,0.149366,0.137459,0.9933333333333333,0.94,0.9636363636363636,0.8833333333333333,0.9217391304347826,False
36,0.119813,0.122171,0.9955555555555555,0.96,0.9821428571428571,0.9166666666666666,0.9482758620689655,False
37,0.112562,0.118685,0.997037037037037,0.96,1.0,0.9,0.9473684210526315,False
38,0.122734,0.140378,0.9953703703703703,0.9333333333333333,1.0,0.8333333333333334,0.9090909090909091,False
39,0.117073,0.120317,0.9964814814814815,0.96,0.9655172413793104,0.9333333333333333,0.9491525423728814,False
40,0.128179,0.113052,0.9962962962962963,0.96,0.9821428571428571,0.9166666666666666,0.9482758620689655,True
41,0.113996,0.125765,0.9935185185185186,0.96,0.9821428571428571,0.9166666666666666,0.9482758620689655,False
42,0.106875,0.122841,0.9948148148148148,0.9333333333333333,0.9629629629629629,0.8666666666666667,0.9122807017543859,False
43,0.111472,0.11626,0.9925925925925926,0.9733333333333334,0.9827586206896551,0.95,0.9661016949152542,False
44,0.117232,0.111382,0.9977777777777779,0.9733333333333334,0.9827586206896551,0.95,0.9661016949152542,True
45,0.110623,0.127746,0.9953703703703703,0.94,1.0,0.85,0.918918918918919,False
46,0.123257,0.124724,0.9942592592592593,0.96,0.9821428571428571,0.9166666666666666,0.9482758620689655,False
47,0.111672,0.111783,0.9977777777777778,0.9666666666666667,0.9824561403508771,0.9333333333333333,0.9572649572649573,False
48,0.107156,0.122397,0.9957407407407408,0.94,0.9811320754716981,0.8666666666666667,0.9203539823008849,False
49,0.108677,0.115502,0.9962962962962962,0.9666666666666667,1.0,0.9166666666666666,0.9565217391304348,False
50,0.100674,0.126033,0.9927777777777778,0.94,0.9811320754716981,0.8666666666666667,0.9203539823008849,False
