crawl_batch_id,crawl_time,target_url,source_page_type,request_url,request_cursor,response_status,response_timestamp,response_headers_raw,network_response_count,runtime_objects_count,primary_source_key,match_type,confidence
20260506_231422,2026-05-06T23:14:22.687017,https://www.douyin.com/video/7624873382114282803,video_detail,https://www.douyin.com/video/7624873382114282803,,200,2026-05-06T23:14:22.687017,,32,,network_response_28,exact,high
20260506_231422,2026-05-06T23:14:33.686902,https://www.douyin.com/video/7624990104373376421,video_detail,https://www.douyin.com/video/7624990104373376421,,200,2026-05-06T23:14:33.686902,,76,1,network_response_30,exact,high
20260506_231422,2026-05-06T23:14:51.382591,https://www.douyin.com/video/7625140333864586559,video_detail,https://www.douyin.com/video/7625140333864586559,,200,2026-05-06T23:14:51.382591,,71,1,network_response_65,exact,high
20260506_231422,2026-05-06T23:15:04.636051,https://www.douyin.com/video/7625266759122124394,video_detail,https://www.douyin.com/video/7625266759122124394,,200,2026-05-06T23:15:04.636051,,80,1,network_response_72,exact,high
20260506_231422,2026-05-06T23:15:22.371436,https://www.douyin.com/video/7625382302234791183,video_detail,https://www.douyin.com/video/7625382302234791183,,200,2026-05-06T23:15:22.371436,,9,,,none,low
20260506_231422,2026-05-06T23:15:27.864517,https://www.douyin.com/video/7625492021486144777,video_detail,https://www.douyin.com/video/7625492021486144777,,200,2026-05-06T23:15:27.864517,,34,1,,none,low
20260506_231422,2026-05-06T23:15:42.965706,https://www.douyin.com/video/7625531481825330537,video_detail,https://www.douyin.com/video/7625531481825330537,,200,2026-05-06T23:15:42.965706,,5,1,,none,low
20260506_231422,2026-05-06T23:15:55.189090,https://www.douyin.com/video/7625546845988749440,video_detail,https://www.douyin.com/video/7625546845988749440,,200,2026-05-06T23:15:55.189090,,32,,network_response_22,exact,high
20260506_231422,2026-05-06T23:16:05.848164,https://www.douyin.com/video/7625929057691078053,video_detail,https://www.douyin.com/video/7625929057691078053,,200,2026-05-06T23:16:05.848164,,28,,network_response_25,exact,high
20260506_231422,2026-05-06T23:16:14.644352,https://www.douyin.com/video/7625931818142878995,video_detail,https://www.douyin.com/video/7625931818142878995,,200,2026-05-06T23:16:14.644352,,13,1,,none,low
20260506_231422,2026-05-06T23:16:24.431830,https://www.douyin.com/video/7625943440111941754,video_detail,https://www.douyin.com/video/7625943440111941754,,200,2026-05-06T23:16:24.431830,,44,1,network_response_30,exact,high
20260506_231422,2026-05-06T23:16:38.101574,https://www.douyin.com/video/7625983892776400448,video_detail,https://www.douyin.com/video/7625983892776400448,,200,2026-05-06T23:16:38.101574,,10,1,,none,low
20260506_231422,2026-05-06T23:16:49.254189,https://www.douyin.com/video/7626039783856311604,video_detail,https://www.douyin.com/video/7626039783856311604,,200,2026-05-06T23:16:49.254189,,62,1,network_response_26,exact,high
20260506_231422,2026-05-06T23:17:16.060408,https://www.douyin.com/video/7626119147679665427,video_detail,https://www.douyin.com/video/7626119147679665427,,200,2026-05-06T23:17:16.060408,,16,1,,none,low
