model_name,run_id,k,effective_k,precision_at_k,recall_at_k,topk_positive_count,eval_positive_count,sample_count
dnn,202605111858,5,5,1.0,0.016666666666666666,5,300,750
dnn,202605111858,10,10,1.0,0.03333333333333333,10,300,750
dnn,202605111858,20,20,0.9,0.06,18,300,750
dnn,202605111858,50,50,0.8,0.13333333333333333,40,300,750
wide_deep,202605111921,5,5,1.0,0.016666666666666666,5,300,750
wide_deep,202605111921,10,10,1.0,0.03333333333333333,10,300,750
wide_deep,202605111921,20,20,0.85,0.056666666666666664,17,300,750
wide_deep,202605111921,50,50,0.76,0.12666666666666668,38,300,750
graphsage,202605112028,5,5,1.0,0.016666666666666666,5,300,750
graphsage,202605112028,10,10,0.9,0.03,9,300,750
graphsage,202605112028,20,20,0.9,0.06,18,300,750
graphsage,202605112028,50,50,0.74,0.12333333333333334,37,300,750
multimodal,202605111759,5,5,0.8,0.013333333333333334,4,300,750
multimodal,202605111759,10,10,0.7,0.023333333333333334,7,300,750
multimodal,202605111759,20,20,0.7,0.04666666666666667,14,300,750
multimodal,202605111759,50,50,0.66,0.11,33,300,750
