table_name,column_name,missing_count,missing_rate,is_all_null,is_high_missing,is_important_column,is_generated_or_placeholder,notes
raw_video_tag,video_id,0,0.0,False,False,True,False,
raw_video_tag,tag_id,0,0.0,False,False,True,True,规则生成/占位字段
raw_video_tag,tag_name,0,0.0,False,False,True,True,规则生成/占位字段
raw_video_tag,tag_level,0,0.0,False,False,True,True,规则生成/占位字段
raw_video_tag,crawl_time,0,0.0,False,False,False,False,
raw_video_status_control,video_id,0,0.0,False,False,True,False,
raw_video_status_control,can_comment,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,can_forward,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,can_share,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,can_show_comment,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,allow_download,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,allow_duet,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,allow_music,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,allow_record,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,allow_stitch,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,private_status,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,is_delete,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,is_prohibited,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,in_reviewing,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,review_status,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,comment_permission_status,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_status_control,crawl_time,0,0.0,False,False,False,False,
raw_video_media,cover_uri,79,1.0,True,True,False,False,
raw_video_media,video_format,79,1.0,True,True,False,False,
raw_video_media,video_ratio,79,1.0,True,True,False,False,
raw_video_media,bit_rate_raw,79,1.0,True,True,False,False,
raw_video_media,big_thumbs_raw,79,1.0,True,True,False,False,
raw_video_media,video_meta_raw,79,1.0,True,True,False,False,
raw_video_media,dynamic_cover_uri,2,0.025316,False,False,True,False,
raw_video_media,cover_url_list,1,0.012658,False,False,True,False,
raw_video_media,origin_cover_uri,1,0.012658,False,False,True,False,
raw_video_media,video_id,0,0.0,False,False,True,False,
raw_video_media,cover_width,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_media,cover_height,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_media,origin_cover_url_list,0,0.0,False,False,True,False,
raw_video_media,origin_cover_width,0,0.0,False,False,True,False,
raw_video_media,origin_cover_height,0,0.0,False,False,True,False,
raw_video_media,dynamic_cover_url_list,0,0.0,False,False,False,False,
raw_video_media,dynamic_cover_width,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_media,dynamic_cover_height,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_media,video_width,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_media,video_height,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_media,is_h265,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_media,is_long_video,0,0.0,False,False,False,True,规则生成/占位字段
raw_video_media,has_watermark,0,0.0,False,False,True,False,
raw_video_media,crawl_time,0,0.0,False,False,False,False,
raw_video_detail,sec_item_id,79,1.0,True,True,False,False,
raw_video_detail,share_url,79,1.0,True,True,False,False,
raw_video_detail,preview_title,79,1.0,True,True,False,False,
raw_video_detail,item_title,79,1.0,True,True,False,False,
raw_video_detail,shoot_way,79,1.0,True,True,False,False,
raw_video_detail,caption,2,0.025316,False,False,True,False,
raw_video_detail,desc,2,0.025316,False,False,True,False,
raw_video_detail,video_id,0,0.0,False,False,True,False,
raw_video_detail,group_id,0,0.0,False,False,True,False,
raw_video_detail,comment_gid,0,0.0,False,False,False,False,
raw_video_detail,page_url,0,0.0,False,False,False,False,
raw_video_detail,create_time,0,0.0,False,False,True,False,
raw_video_detail,duration_ms,0,0.0,False,False,True,False,
raw_video_detail,aweme_type,0,0.0,False,False,True,False,
raw_video_detail,media_type,0,0.0,False,False,True,False,
raw_video_detail,region,0,0.0,False,False,True,False,
raw_video_detail,is_top,0,0.0,False,False,True,False,
raw_video_detail,is_ads,0,0.0,False,False,True,False,
raw_video_detail,is_life_item,0,0.0,False,False,True,False,
raw_video_detail,original,0,0.0,False,False,True,False,
raw_video_detail,digg_count,0,0.0,False,False,True,False,
raw_video_detail,comment_count,0,0.0,False,False,True,False,
raw_video_detail,share_count,0,0.0,False,False,True,False,
raw_video_detail,collect_count,0,0.0,False,False,True,False,
raw_video_detail,play_count,0,0.0,False,False,True,False,
raw_video_detail,recommend_count,0,0.0,False,False,True,False,
raw_video_detail,admire_count,0,0.0,False,False,True,False,
raw_video_detail,crawl_time,0,0.0,False,False,False,False,
raw_video_detail,primary_source_key,0,0.0,False,False,False,False,
raw_video_detail,author_id,0,0.0,False,False,True,True,规则生成/占位字段
raw_related_video,related_author_sec_uid,474,1.0,True,True,False,False,
raw_related_video,related_music_title,474,1.0,True,True,False,False,
raw_related_video,related_text_extra_raw,474,1.0,True,True,False,False,
raw_related_video,related_chapter_abstract,474,1.0,True,True,False,False,
raw_related_video,source_video_id,0,0.0,False,False,True,False,
raw_related_video,related_video_id,0,0.0,False,False,True,True,规则生成/占位字段
raw_related_video,related_rank_position,0,0.0,False,False,True,True,规则生成/占位字段
raw_related_video,related_author_id,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_author_nickname,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_caption,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_create_time,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_duration_ms,0,0.0,False,False,True,True,规则生成/占位字段
raw_related_video,related_media_type,0,0.0,False,False,True,True,规则生成/占位字段
raw_related_video,related_digg_count,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_comment_count,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_share_count,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_collect_count,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_play_count,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_cover_url_list,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_music_id,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,related_video_tag_raw,0,0.0,False,False,False,True,规则生成/占位字段
raw_related_video,crawl_time,0,0.0,False,False,False,False,
raw_music,music_mid,79,1.0,True,True,False,False,
raw_music,music_owner_id,79,1.0,True,True,False,False,
raw_music,music_author,23,0.291139,False,False,True,False,
raw_music,music_owner_nickname,23,0.291139,False,False,True,False,
raw_music,music_title,1,0.012658,False,False,True,False,
raw_music,video_id,0,0.0,False,False,True,False,
raw_music,music_id,0,0.0,False,False,False,True,规则生成/占位字段
raw_music,music_duration,0,0.0,False,False,False,True,规则生成/占位字段
raw_music,music_shoot_duration,0,0.0,False,False,False,True,规则生成/占位字段
raw_music,is_original_sound,0,0.0,False,False,True,False,
raw_music,is_commerce_music,0,0.0,False,False,True,False,
raw_music,music_status,0,0.0,False,False,True,False,
raw_music,music_collect_count,0,0.0,False,False,False,True,规则生成/占位字段
raw_music,music_cover_url_list,0,0.0,False,False,False,True,规则生成/占位字段
raw_music,music_play_url_list,0,0.0,False,False,False,True,规则生成/占位字段
raw_music,crawl_time,0,0.0,False,False,False,False,
raw_hashtag,video_id,0,0.0,False,False,True,False,
raw_hashtag,hashtag_id,0,0.0,False,False,False,True,规则生成/占位字段
raw_hashtag,hashtag_name,0,0.0,False,False,True,False,
raw_hashtag,hashtag_type,0,0.0,False,False,True,False,
raw_hashtag,is_commerce,0,0.0,False,False,True,False,
raw_hashtag,caption_start,0,0.0,False,False,False,True,规则生成/占位字段
raw_hashtag,caption_end,0,0.0,False,False,False,True,规则生成/占位字段
raw_hashtag,start,0,0.0,False,False,True,False,
raw_hashtag,end,0,0.0,False,False,True,False,
raw_hashtag,crawl_time,0,0.0,False,False,False,False,
raw_crawl_log,request_url,79,1.0,True,True,False,False,
raw_crawl_log,request_cursor,79,1.0,True,True,False,False,
raw_crawl_log,response_headers_raw,79,1.0,True,True,False,False,
raw_crawl_log,crawl_batch_id,0,0.0,False,False,True,False,
raw_crawl_log,crawl_time,0,0.0,False,False,False,False,
