video_id,page_url,author_id,author_name,author_profile_url,desc_text,publish_time_raw,publish_time_std,like_count_raw,comment_count_raw,share_count_raw,like_count,comment_count,share_count,collect_count,hashtag_list,hashtag_count,cover_url,music_name,duration_sec,source_entry,match_type,confidence,selected_reason,is_primary_match,matched_object_id,crawl_time
7601513586536455034,https://www.douyin.com/video/7601513586536455034,111285840763,飞腾影视,https://www.douyin.com/user/self?from_nav=1,"这部电影艺术成份很高 ,百看不厌 精彩无限 #赌神 #周润发 #刘德华 #吴孟达 #王祖贤",0,,2886,45,113,,,,,"['赌神', '周润发', '刘德华', '吴孟达', '王祖贤']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7601513586536455034,2026-04-16 05:07:25.338435
7621965659508968767,https://www.douyin.com/video/7621965659508968767,792113151749196,胡乱乱漫剪,https://www.douyin.com/user/self?from_nav=1,不死川实弥和富冈义勇两个人，简直是标准的文生武相和武生文相啊！！#鬼灭之刃 #不死川实弥 #富冈义勇 #我在抖音看动漫 #充能计划,0,,64221,302,2907,564,,,,"['鬼灭之刃', '不死川实弥', '富冈义勇', '我在抖音看动漫', '充能计划']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7621965659508968767,2026-04-16 05:07:32.961796
7624485550934914906,https://www.douyin.com/video/7624485550934914906,7591045167445967921,刘春歧,https://www.douyin.com/user/self?from_nav=1,他的脱口秀可能不是最好笑的，但是一定是最有深度的！#付航 #星爷 #爱情 #脱口秀 #讽刺,0,,44615,319,5776,,,,,"['付航', '星爷', '爱情', '脱口秀', '讽刺']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7624485550934914906,2026-04-16 05:07:39.965633
7625852623463420379,https://www.douyin.com/video/7625852623463420379,64607145986,虞兮西,https://www.douyin.com/user/self?from_nav=1,"趁着周末的好天气☀️
早早起床画一个美美的妆
自驾去圣路易斯周边的Grafton镇
虽然一直想坐的缆车没开🥹
好在还有我的林间小火车
阳光散在身上暖暖的🥰
在码头边慢慢走走逛逛
拍了好多春日感照片
真的好喜欢春天🍃
散步和发呆都是正经事💕
#vlog日常 #美国生活 #海外生活 #春游",0,,11893,295,238,1355,,14003401280158025003520421,,"['vlog日常', '美国生活', '海外生活', '春游']",4,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7625852623463420379,2026-04-16 05:07:45.408082
7628970733565185316,https://www.douyin.com/video/7628970733565185316,100441820893,彭春花本人,https://www.douyin.com/user/self?from_nav=1,"选择一个适合的城市，不仅身体会变好，运势也会变好。
今天想跟大家聊聊【如何观察城市】。
大家都是怎么判断一个地方，旺不旺自己的？你有什么城市观察思路嘛？

一个地方，总会通过做这件事更容易，做那件事更难，来默默改变我们的行为和价值观。我也想分享：上海如何改变了我的价值观？

你的城市给你带来了什么改变？我们评论区见啦。#城市 #散步 #选择 #上海 #能量 

我们评论区见啦！",0,,452,20,72,121,20,72,,"['城市', '散步', '选择', '上海', '能量']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7628970733565185316,2026-04-16 05:07:54.909363
7614320621371502702,https://www.douyin.com/video/7614320621371502702,71463526243,马呜呜,https://www.douyin.com/user/self?from_nav=1,Maria Arredondo《Burning》音乐制作人专业歌曲解析乐评Reaction#mariaarredondo #burning #英文歌  #reaction #回忆杀,0,,38005,1416,2277,8774,,2277,,"['mariaarredondo', 'burning', '英文歌', 'reaction', '回忆杀']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7614320621371502702,2026-04-16 05:08:03.051098
7599971661974660698,https://www.douyin.com/video/7599971661974660698,106713089135,丁桐,https://www.douyin.com/user/self?from_nav=1,5岁时画的画现在看还是很惊艳#画画 #跟着抖音学画画 #爱画画的孩子 #萌娃日常 #亲子时光 @DOU+小助手,1769682148,,1,34,30,44,,30,,[],0,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7599971661974660698,2026-04-16 05:08:13.826266
7628114902910081445,https://www.douyin.com/video/7628114902910081445,105974054636,傻白呀,https://www.douyin.com/user/self?from_nav=1,她能让水花消失 却抵挡不住这个世界的恶意 深入解析“全红婵困境” #全红婵 #社会热点 #心理健康 #内容过于真实,0,,4202,297,342,,,,,"['全红婵', '社会热点', '心理健康', '内容过于真实']",4,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7628114902910081445,2026-04-16 05:08:25.545025
7618504350813424923,https://www.douyin.com/video/7618504350813424923,101161131471,BB大王,https://www.douyin.com/user/self?from_nav=1,"1个BUG瘫痪一堆BUG就能WORK
#美妆 #搞笑 #埃及 #立白大师香氛",0,,282844,2994,79858,5080,,79858,,"['美妆', '搞笑', '埃及', '立白大师香氛']",4,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7618504350813424923,2026-04-16 05:08:33.757059
7628112897960398126,https://www.douyin.com/video/7628112897960398126,2236836049594126,晋说,https://www.douyin.com/user/self?from_nav=1,#时代的荣耀 #零基础看懂全球 #全球创作者计划,0,,51915,4366,2420,1192,,2420,,"['时代的荣耀', '零基础看懂全球', '全球创作者计划']",3,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7628112897960398126,2026-04-16 05:08:43.819498
7610226551686221096,https://www.douyin.com/video/7610226551686221096,106769981062,苦無.,https://www.douyin.com/user/self?from_nav=1,#英语学习#英语#英语启蒙#英语听力#英语口语,1772133833,,76,66,294,282,,294,,[],0,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7610226551686221096,2026-04-16 05:08:54.215843
7626389557025705262,https://www.douyin.com/video/7626389557025705262,272302036753048,钱继東,https://www.douyin.com/user/self?from_nav=1,"你是否睡足8小时，醒来依然疲惫、昏沉、像没睡一样？其实问题不在睡眠时长，而在于你的大脑是否允许自己“开机”。本视频从脑科学角度揭示：控制清晨状态的三大系统——昼夜节律、睡眠压力、认知负荷——只要一个失调，你就会困在""半睡半醒""的泥潭里。6个进阶转变，帮你彻底告别起床挣扎：
1.固定起床时间 – 大脑靠预设化学节律运行，每天同一时间醒来，才能锁定""开机信号""。
2.光线才是真闹钟 – 醒来5分钟内让眼睛接触强光，关闭褪黑素，启动皮质醇。
3.停止追逐8小时 – 跟随睡眠周期（6/7.5/9小时），在浅睡眠阶段醒来才清醒。
4.晚上建立""关闭序列"" – 清空未完结的念头，让大脑不再预判混乱。
5.打破""我不是早起的人""的自我认知 – 用重复的证据重塑身份，而非空想。
6.目标不是早起，而是清醒地醒来 – 移除大脑拖延醒来的原因，让早起自动发生。
没有意志力游戏，没有技巧堆砌。只有协调一致。清醒地醒来，才是真正的掌控。
适合想提高效率、改善睡眠、告别起床困难的所有人。点赞收藏，评论区告诉我：你会先尝试哪一个转变？
wake up early,why waking up is hard,sleep psychology,circadian rhythm,sleep cycle science,morning routine science,brain science sleep,why you feel tired after sleep,sleep optimization,morning productivity,neuroscience sleep,melatonin cortisol rhythm,healthy sleep habits,brain wake up mechanism,sleep research;
#自律 #早期 #睡眠 #失眠 #助眠",0,,1717,14,157,,,,,"['自律', '早期', '睡眠', '失眠', '助眠']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7626389557025705262,2026-04-16 05:09:04.193462
7542804279636069667,https://www.douyin.com/video/7542804279636069667,7524649017218434105,深度学习工程师,https://www.douyin.com/user/self?from_nav=1,主讲人：Sharon Zhou#人工智能公开课,0,,59,1,0,640,,0,,['人工智能公开课'],1,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7542804279636069667,2026-04-16 05:09:13.588513
7542806628005924136,https://www.douyin.com/video/7542806628005924136,7524649017218434105,深度学习工程师,https://www.douyin.com/user/self?from_nav=1,主讲人：Sharon Zhou#人工智能公开课,0,,3,0,0,640,,0,,['人工智能公开课'],1,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7542806628005924136,2026-04-16 05:09:22.852190
7542806911213784372,https://www.douyin.com/video/7542806911213784372,7524649017218434105,深度学习工程师,https://www.douyin.com/user/self?from_nav=1,主讲人：Sharon Zhou#人工智能公开课,0,,0,0,0,0,,0,,['人工智能公开课'],1,https://p9-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=94c09tBPPdvX4utvmAXHNqbSX%2BM%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7542806911213784372,2026-04-16 05:09:33.994076
7621084150518336822,https://www.douyin.com/video/7621084150518336822,3419928973810448,Horcus,https://www.douyin.com/user/self?from_nav=1,这一期太难猜了#horcus,0,,279580,1356,11563,4938,,,,['horcus'],1,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7621084150518336822,2026-04-16 05:09:44.676087
7614822256039988532,https://www.douyin.com/video/7614822256039988532,1097781186667780,无尘游戏解说,https://www.douyin.com/user/self?from_nav=1,#机瞄 #悠一 #顶猎 #赋能 #三角洲行动,0,,58815,642,7660,275,,,,"['机瞄', '悠一', '顶猎', '赋能', '三角洲行动']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7614822256039988532,2026-04-16 05:09:53.138801
