crawl_batch_id,crawl_time,target_url,source_page_type,request_url,request_cursor,response_status,response_timestamp,response_headers_raw,network_response_count,runtime_objects_count,primary_source_key,match_type,confidence
20260507_165347,2026-05-07T16:53:47.359241,https://www.douyin.com/video/7624873382114282803,video_detail,https://www.douyin.com/video/7624873382114282803,,200,2026-05-07T16:53:47.359241,,47,,network_response_17,exact,high
20260507_165347,2026-05-07T16:54:08.598872,https://www.douyin.com/video/7624990104373376421,video_detail,https://www.douyin.com/video/7624990104373376421,,200,2026-05-07T16:54:08.598872,,75,1,network_response_31,exact,high
20260507_165347,2026-05-07T16:54:17.741457,https://www.douyin.com/video/7625140333864586559,video_detail,https://www.douyin.com/video/7625140333864586559,,200,2026-05-07T16:54:17.741457,,27,,network_response_25,exact,high
20260507_165347,2026-05-07T16:54:20.610778,https://www.douyin.com/video/7625266759122124394,video_detail,https://www.douyin.com/video/7625266759122124394,,200,2026-05-07T16:54:20.610778,,23,,,none,low
20260507_165347,2026-05-07T16:54:22.856843,https://www.douyin.com/video/7625382302234791183,video_detail,https://www.douyin.com/video/7625382302234791183,,200,2026-05-07T16:54:22.856843,,75,1,network_response_32,exact,high
20260507_165347,2026-05-07T16:54:31.709219,https://www.douyin.com/video/7625492021486144777,video_detail,https://www.douyin.com/video/7625492021486144777,,200,2026-05-07T16:54:31.709219,,26,,,none,low
20260507_165347,2026-05-07T16:54:34.071901,https://www.douyin.com/video/7625531481825330537,video_detail,https://www.douyin.com/video/7625531481825330537,,200,2026-05-07T16:54:34.071901,,26,,,none,low
20260507_165347,2026-05-07T16:54:36.378037,https://www.douyin.com/video/7625546845988749440,video_detail,https://www.douyin.com/video/7625546845988749440,,200,2026-05-07T16:54:36.378037,,69,1,network_response_36,exact,high
20260507_165347,2026-05-07T16:54:43.967214,https://www.douyin.com/video/7625929057691078053,video_detail,https://www.douyin.com/video/7625929057691078053,,200,2026-05-07T16:54:43.967214,,26,,,none,low
20260507_165347,2026-05-07T16:54:46.894586,https://www.douyin.com/video/7625931818142878995,video_detail,https://www.douyin.com/video/7625931818142878995,,200,2026-05-07T16:54:46.894586,,51,1,network_response_30,exact,high
20260507_165347,2026-05-07T16:54:52.245043,https://www.douyin.com/video/7625943440111941754,video_detail,https://www.douyin.com/video/7625943440111941754,,200,2026-05-07T16:54:52.245043,,41,,network_response_33,exact,high
