video_id,page_url,crawl_time,sec_item_id,group_id,comment_gid,share_url,caption,desc,preview_title,item_title,create_time,duration_ms,aweme_type,media_type,region,is_top,is_ads,is_life_item,original,shoot_way,digg_count,comment_count,share_count,collect_count,play_count,recommend_count,admire_count,primary_source_key
7624873382114282803,https://www.douyin.com/video/7624873382114282803,2026-05-07 16:53:47.359241,MS4wLjAAAAAAqbPK2PPezC82sERX69nHp4526lHs4T-6wMsOTeSzmtbm-B-7Zn-LxmYY9j1benyE,7624873382114282803,7624873382114282803,,她又是如何蜕变攻略豪门的？#深度解析 #许我耀眼 #赵露思 #青年创作者成长计划,引言,深度解析许妍送顶级羊绒围巾给豪豪门婆婆，得到的是嘲笑与羞辱 她又是如何蜕变攻略豪门的？#深度解析 #许我耀眼 #赵露思 #青年创作者成长计划,深度解析许妍送顶级羊绒围巾给豪豪门婆婆，得到的是嘲笑与羞辱,1775304185,556050,0,4,,0,False,False,0,,37904,279,1199,2256,0,406,0,network_response_17
7624990104373376421,https://www.douyin.com/video/7624990104373376421,2026-05-07 16:54:08.598872,MS4wLjAAAAAAFU1bg2TFQhzjD4yYtayIXUlSSdKAJYE48ixhgCEx4z3Efb_2lKMGi4Zxq2LPM4hg,7624990104373376421,7624990104373376421,,匠心制作9h以上的一期…#抽象#高中生#校园#日常vlog#青年创作者成长计划,09高中生上学vlog 今天学校义卖！ 匠心制作9h以上的一期…#抽象#高中生#校园#日常vlog#青年创作者成长计划 #2026高考 #抖音精选高考应援联盟,09高中生上学vlog 今天学校义卖！ 匠心制作9h以上的一期…#抽象#高中生#校园#日常vlog#青年创作者成长计划 #2026高考 #抖音精选高考应援联盟,09高中生上学vlog 今天学校义卖！,1775377800,303567,0,4,CN,0,False,False,0,,26945,470,817,2917,0,1012,0,network_response_31
7625140333864586559,https://www.douyin.com/video/7625140333864586559,2026-05-07 16:54:17.741457,MS4wLjAAAAAAg4CI-vNt5Gz9h29cXAZsYdZkR-443SMy1YJXpb8YaERqUanRCwNHWZyOr4I8fYcY,7625140333864586559,7625140333864586559,,#沪漂生活 #打工人日常 #山姆超市 #出租屋美食 #打工人的小幸福,引言,花238块逛吃山姆，回出租屋在整一顿无敌大餐快乐直接拉满 #沪漂生活 #打工人日常 #山姆超市 #出租屋美食 #打工人的小幸福,花238块逛吃山姆，回出租屋在整一顿无敌大餐快乐直接拉满,1775389800,833167,0,4,,0,False,False,0,,12454,295,1803,1555,0,203,0,network_response_25
7625266759122124394,https://www.douyin.com/video/7625266759122124394,2026-05-07 16:54:20.610778,,,,,,,,,1778144041101,,,,,,,,,,,,,,,,,
7625382302234791183,https://www.douyin.com/video/7625382302234791183,2026-05-07 16:54:22.856843,MS4wLjAAAAAAauDQK7Qsxet7Qmzgd6VSs5K2vzJENy0zL3Gu8GrPmQd4ht7QJQnXe0WdD4xXgnYa,7619354584535829801,7625382302234791183,,#史前生物 #古生物 #生物科普知识 #菊石 #邓氏鱼,引言,半小时看完史前海洋统治者，死因竟然都是因为自己进化得太完美？ #史前生物 #古生物 #生物科普知识 #菊石 #邓氏鱼,半小时看完史前海洋统治者，死因竟然都是因为自己进化得太完美？,1775422722,2555245,0,4,,0,False,False,0,,55348,1139,3326,16957,0,3552,0,network_response_32
7625492021486144777,https://www.douyin.com/video/7625492021486144777,2026-05-07 16:54:31.709219,,,,,,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。,,,1778144041101,,,,,,,,,,,,,,,,,
7625531481825330537,https://www.douyin.com/video/7625531481825330537,2026-05-07 16:54:34.071901,,,,,,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。,,,1778144041101,,,,,,,,,,,,,,,,,
7625546845988749440,https://www.douyin.com/video/7625546845988749440,2026-05-07 16:54:36.378037,MS4wLjAAAAAA0nsU-LbA5HdaZo4uC1PNoakr5_jt3RjdmdPiJyp6hD7706HcUemh9_KiCounKx8b,7625546845988749440,7625546845988749440,,#这一碗好过瘾 #曹氏鸭脖,曹氏鸭脖 #这一碗好过瘾 #曹氏鸭脖,曹氏鸭脖 #这一碗好过瘾 #曹氏鸭脖,曹氏鸭脖,1775460981,204056,0,4,CN,0,False,False,0,,4394,129,2417,276,0,42,0,network_response_36
7625929057691078053,https://www.douyin.com/video/7625929057691078053,2026-05-07 16:54:43.967214,,,,,,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。,,,1778144041101,,,,,,,,,,,,,,,,,
7625931818142878995,https://www.douyin.com/video/7625931818142878995,2026-05-07 16:54:46.894586,,7635600757953369359,,https://www.iesdouyin.com/share/billboard/?id=0,,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。,,,1778144041101,60000,,,,,,,,,,,,,,,,network_response_30
