model_name,run_id,output_dir,sample_count,positive_count,negative_count,auc,accuracy,precision,recall,f1,precision_at_5,recall_at_5,precision_at_10,recall_at_10,precision_at_20,recall_at_20,eval_loss,best_epoch,best_eval_loss,device,threshold,run_meta_notes
dnn,202604301440,D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\dnn\202604301440,16,6,10,0.9666666666666667,0.6875,0.5454545454545454,1.0,0.7058823529411765,0.800000011920929,0.6666666666666666,0.6000000238418579,1.0,0.375,1.0,0.6427137851715088,20,0.642714,cuda,0.5,['当前 DNN 基于 sample0427 样本数据训练，仅用于流程级验证。']
wide_deep,202604301557,D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\wide_deep\202604301557,16,6,10,0.8,0.4375,0.4,1.0,0.5714285714285714,0.800000011920929,0.6666666666666666,0.5,0.8333333333333334,0.375,1.0,0.6521131992340088,20,0.652113,cuda,0.5,['当前 Wide & Deep 基于 sample0427 样本数据训练，仅用于流程级验证。']
graphsage,202604291958,D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\graphsage\202604291958,16,6,10,0.85,0.8125,0.8,0.6666666666666666,0.7272727272727273,0.800000011920929,0.6666666666666666,0.5,0.8333333333333334,0.375,1.0,0.48705440759658813,20,0.487054,cuda,0.5,['当前 GraphSAGE 基于 sample0427 图数据训练，仅用于流程级验证。']
multimodal,202604301557,D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\multimodal\202604301557,16,6,10,0.85,0.75,0.75,0.5,0.6,0.6,0.5,0.6,1.0,0.375,1.0,0.6002570939617377,10,0.600257,cuda,0.5,"['当前多模态模型基于 sample0427 样本数据训练，仅用于流程级验证。', '未下载图片。', '未调用外部 API。', '未使用大型预训练模型。']"
