model_version,auc,accuracy,precision,recall,f1,num_parameters,model_size_mb,avg_latency_ms_per_sample,p50_latency_ms_per_sample,p95_latency_ms_per_sample,throughput_samples_per_sec,device,quantized
tuned_multimodal_fp32_cuda,0.9927777777777778,0.9333333333333333,0.9807692307692307,0.85,0.9107142857142857,2649,0.0136,0.690228,0.571,1.508405,1448.8,cuda,False
tuned_multimodal_fp32_cpu,0.9927777777777778,0.9333333333333333,0.9807692307692307,0.85,0.9107142857142857,2649,0.0136,0.113358,0.0807,0.242705,8821.59,cpu,False
tuned_multimodal_quantized,0.9918518518518519,0.94,0.9811320754716981,0.8666666666666667,0.9203539823008849,2649,0.0099,0.925766,0.6783,2.25202,1080.19,cpu,True
