model_name,run_id,k,effective_k,precision_at_k,recall_at_k,topk_positive_count,eval_positive_count,sample_count
dnn,202604301440,5,5,0.8,0.6666666666666666,4,6,16
dnn,202604301440,10,10,0.6,1.0,6,6,16
dnn,202604301440,20,16,0.375,1.0,6,6,16
wide_deep,202604291505,5,5,0.8,0.6666666666666666,4,6,16
wide_deep,202604291505,10,10,0.5,0.8333333333333334,5,6,16
wide_deep,202604291505,20,16,0.375,1.0,6,6,16
graphsage,202604291958,5,5,0.8,0.6666666666666666,4,6,16
graphsage,202604291958,10,10,0.5,0.8333333333333334,5,6,16
graphsage,202604291958,20,16,0.375,1.0,6,6,16
multimodal,202604292059,5,5,0.6,0.5,3,6,16
multimodal,202604292059,10,10,0.6,1.0,6,6,16
multimodal,202604292059,20,16,0.375,1.0,6,6,16
