experiment_id,group,model_key,request_count,unique_users,impression_count,avg_score,p95_latency_ms,error_rate,traffic_ratio,ctr,interaction_rate,coverage,warnings
exp_dnn_baseline_vs_tuned,A,dnn_baseline,6,2,90,0.058519,4.01,0.0,0.692308,,,1.0,sample_size_warning; traffic_balance_warning
exp_dnn_baseline_vs_tuned,B,dnn_tuned,0,0,40,0.054803,0.0,0.0,0.307692,,,1.0,sample_size_warning; traffic_balance_warning
