video_id,page_url,author_id,author_name,author_profile_url,desc_text,publish_time_raw,publish_time_std,like_count_raw,comment_count_raw,share_count_raw,like_count,comment_count,share_count,collect_count,hashtag_list,hashtag_count,cover_url,music_name,duration_sec,source_entry,match_type,confidence,selected_reason,is_primary_match,crawl_time
7601513586536455034,https://www.douyin.com/video/7601513586536455034,111285840763,飞腾影视,https://www.douyin.com/user/self?from_nav=1,"这部电影艺术成份很高 ,百看不厌 精彩无限 #赌神 #周润发 #刘德华 #吴孟达 #王祖贤",0,,2886,45,113,,,,,"['赌神', '周润发', '刘德华', '吴孟达', '王祖贤']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777478400&x-signature=hvZgJgczSuE7alo1elLvMCqYu6w%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,2026-04-16 00:31:39.188065
7616931519998774579,https://www.douyin.com/video/7616931519998774579,3118643368181163,Mine威杰,https://www.douyin.com/user/self?from_nav=1,#我的世界极限生存 #我的世界多人剧情 #娱乐 #都市传说 #恐怖,0,,122313,2442,7910,,,,,"['我的世界极限生存', '我的世界多人剧情', '娱乐', '都市传说', '恐怖']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777478400&x-signature=hvZgJgczSuE7alo1elLvMCqYu6w%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,2026-04-16 00:31:45.054636
7601523151377321262,https://www.douyin.com/video/7601523151377321262,2140114442266275,laidy1981,https://www.douyin.com/user/self?from_nav=1,#我的世界极限生存 #我的世界多人剧情 #娱乐 #都市传说 #恐怖,1769955525,,6,2442,7910,60,,1220,,[],0,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777478400&x-signature=hvZgJgczSuE7alo1elLvMCqYu6w%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,2026-04-16 00:31:47.777990
7621965659508968767,https://www.douyin.com/video/7621965659508968767,d8eca21f-e654-a1bb-05c6-f63bbefa7237,我的,https://www.douyin.com/user/self?from_nav=1,,1776270156157,,,,,,,,,[],0,,,,manual_url,none,low,,False,2026-04-16 00:31:52.802964
