model_name,run_id,score_min,score_max,score_mean,score_std,score_median,avg_score_positive_label,avg_score_negative_label,pred_positive_count,pred_positive_rate,label_positive_count,label_positive_rate
dnn,202605081636,5.496826e-10,1.0,0.33545958319157876,0.42147658551216605,0.058641622,0.7714357634333333,0.04480879636374227,49,0.32666666666666666,60,0.4
wide_deep,202605081746,3.8898385e-08,1.0,0.3565744332803331,0.41129355575034987,0.09781262,0.7594636474000002,0.08798162386722184,49,0.32666666666666666,60,0.4
graphsage,202605081828,0.00012348486,1.0,0.36289507158833334,0.3406133736322459,0.246044575,0.6934136273333333,0.14254936775833332,42,0.28,60,0.4
multimodal,202605081927,4.0643715060184604e-09,1.0,0.36487352693727787,0.4117174958231326,0.1000915206968784,0.807200466717283,0.06998890041727443,52,0.3466666666666667,60,0.4
