model_name,run_id,output_dir,sample_count,positive_count,negative_count,auc,accuracy,precision,recall,f1,precision_at_5,recall_at_5,precision_at_10,recall_at_10,precision_at_20,recall_at_20,eval_loss,best_epoch,best_eval_loss,num_params,device,threshold,run_meta_notes
dnn,202605081636,D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\dnn\real_raw_1000\202605081636,150,60,90,0.9716666666666667,0.9,0.9591836734693877,0.7833333333333333,0.8623853211009175,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.2361263781785965,33,,41177,cuda,0.5,[]
wide_deep,202605081746,D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\wide_deep\real_raw_1000\202605081746,150,60,90,0.9511111111111111,0.8866666666666667,0.9387755102040817,0.7666666666666667,0.8440366972477065,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.2787679433822632,22,,42760,cuda,0.5,[]
graphsage,202605081828,D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\graphsage\real_raw_1000\202605081828,150,60,90,0.9611111111111111,0.88,1.0,0.7,0.8235294117647058,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.29280412197113037,80,,10433,cuda,0.5,[]
multimodal,202605081927,D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\multimodal\real_raw_1000\202605081927,150,60,90,0.9746296296296295,0.92,0.9615384615384616,0.8333333333333334,0.8928571428571429,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.19502805980909646,50,,7857,cuda,0.5,[]
