k,mean_relevance_score,positive_rate,precision,ndcg,author_diversity,coverage_author,novelty_author,hashtag_diversity,coverage_hashtag,novelty_hashtag,region_diversity,coverage_region,novelty_region,novelty_mean,warning_count
10,0.97518,1.0,1.0,1.0,1.0,0.0155,1.301,0.8,0.0253,1.1833,0.1,0.2,0.1387,0.8743,0
20,0.943782,0.9,0.9,0.9957,1.0,0.0309,1.3452,0.65,0.0411,1.2276,0.05,0.2,0.1387,0.9038,0
50,0.850078,0.8,0.8,0.9769,0.96,0.0742,1.3196,0.76,0.1203,1.1056,0.02,0.2,0.1387,0.8546,0
