epoch,train_loss,val_loss,auc,accuracy,precision,recall,f1,is_best
1,2.807318,0.508284,0.7523037037037037,0.668,0.5521472392638037,0.9,0.6844106463878327,True
2,1.124313,0.503623,0.7590370370370371,0.7093333333333334,0.6198830409356725,0.7066666666666667,0.660436137071651,True
3,0.737267,0.487878,0.7665703703703705,0.7306666666666667,0.6338797814207651,0.7733333333333333,0.6966966966966966,True
4,0.615666,0.484267,0.7781111111111111,0.7293333333333333,0.6300268096514745,0.7833333333333333,0.6983655274888558,True
5,0.5442,0.480016,0.7946222222222222,0.724,0.6317280453257791,0.7433333333333333,0.6830015313935681,True
6,0.539443,0.47617,0.811074074074074,0.728,0.6348314606741573,0.7533333333333333,0.6890243902439024,True
7,0.519557,0.477966,0.8105037037037037,0.7226666666666667,0.6428571428571429,0.69,0.6655948553054662,False
8,0.510016,0.473878,0.8137851851851852,0.728,0.6371428571428571,0.7433333333333333,0.6861538461538461,True
9,0.494844,0.470388,0.8165037037037037,0.7306666666666667,0.6346153846153846,0.77,0.6957831325301205,True
10,0.488231,0.467441,0.8200740740740741,0.7333333333333333,0.6388888888888888,0.7666666666666667,0.696969696969697,True
11,0.483209,0.469269,0.819851851851852,0.7373333333333333,0.6546546546546547,0.7266666666666667,0.688783570300158,False
12,0.481389,0.463165,0.8242148148148148,0.7413333333333333,0.6514285714285715,0.76,0.7015384615384616,True
13,0.463725,0.461726,0.8263259259259259,0.7413333333333333,0.6497175141242938,0.7666666666666667,0.7033639143730887,True
14,0.466993,0.46155,0.8261851851851851,0.7426666666666667,0.6524216524216524,0.7633333333333333,0.7035330261136713,True
15,0.460895,0.467007,0.8202592592592594,0.748,0.6608695652173913,0.76,0.7069767441860465,False
16,0.458857,0.463736,0.8238814814814815,0.752,0.6647398843930635,0.7666666666666667,0.7120743034055728,False
17,0.458537,0.460858,0.8263037037037038,0.7506666666666667,0.6647230320699709,0.76,0.7091757387247278,True
18,0.451491,0.466619,0.820325925925926,0.752,0.6666666666666666,0.76,0.7102803738317757,False
19,0.446876,0.464465,0.8224074074074074,0.7546666666666667,0.6705882352941176,0.76,0.7125,False
20,0.442029,0.464889,0.8233851851851852,0.748,0.6618075801749271,0.7566666666666667,0.7060653188180405,False
21,0.435225,0.468071,0.8235407407407407,0.7426666666666667,0.6698412698412698,0.7033333333333334,0.6861788617886179,False
22,0.438459,0.468335,0.8227333333333332,0.7466666666666667,0.6656626506024096,0.7366666666666667,0.6993670886075949,False
23,0.427827,0.464998,0.8252592592592592,0.7426666666666667,0.6666666666666666,0.7133333333333334,0.6892109500805152,False
24,0.420476,0.46656,0.8262444444444444,0.744,0.6698113207547169,0.71,0.6893203883495146,False
25,0.410612,0.468281,0.8267259259259259,0.744,0.6708860759493671,0.7066666666666667,0.6883116883116883,False
