epoch,train_loss,val_loss,auc,accuracy,precision,recall,f1,is_best
1,0.581476,0.493678,0.8140222222222223,0.7453333333333333,0.6518105849582173,0.78,0.7101669195751138,True
2,0.482899,0.463065,0.8228592592592593,0.7346666666666667,0.629156010230179,0.82,0.7120115774240231,True
3,0.468132,0.461154,0.824851851851852,0.7386666666666667,0.6313131313131313,0.8333333333333334,0.7183908045977011,True
4,0.457708,0.459521,0.8289925925925926,0.748,0.6464379947229552,0.8166666666666667,0.7216494845360825,True
5,0.451745,0.45891,0.8319925925925927,0.74,0.6363636363636364,0.8166666666666667,0.7153284671532847,True
6,0.446427,0.4598,0.8341037037037038,0.7373333333333333,0.6380697050938338,0.7933333333333333,0.7072808320950966,False
7,0.441809,0.459997,0.8357481481481481,0.7386666666666667,0.643646408839779,0.7766666666666666,0.7039274924471299,False
8,0.440127,0.461557,0.8348666666666666,0.736,0.6401098901098901,0.7766666666666666,0.7018072289156626,False
9,0.436743,0.463139,0.8351111111111111,0.7386666666666667,0.6413043478260869,0.7866666666666666,0.7065868263473054,False
10,0.438052,0.464167,0.8342074074074073,0.736,0.6356382978723404,0.7966666666666666,0.7071005917159763,False
11,0.434927,0.464492,0.8352222222222223,0.74,0.6377952755905512,0.81,0.7136563876651982,False
12,0.433409,0.464395,0.8368296296296296,0.7506666666666667,0.6609686609686609,0.7733333333333333,0.7127496159754224,False
13,0.431943,0.467389,0.8353259259259259,0.7466666666666667,0.6571428571428571,0.7666666666666667,0.7076923076923077,False
14,0.429029,0.471018,0.8324888888888891,0.7386666666666667,0.6375661375661376,0.8033333333333333,0.7109144542772862,False
15,0.427131,0.469428,0.8355777777777779,0.748,0.668693009118541,0.7333333333333333,0.699523052464229,False
