id_value,train_count,val_count,test_count,total_count,in_train,in_val,in_test,field
100061957495,4,0,1,5,True,False,True,author_id
699731334413051,4,0,0,4,True,False,False,author_id
35be9ccb-3324-87bc-39b0-652255819068,4,0,0,4,True,False,False,author_id
8b751229-4184-7cdc-280d-767adbb1e5bf,4,1,0,5,True,True,False,author_id
188708457559943,4,0,0,4,True,False,False,author_id
self,4,0,0,4,True,False,False,author_id
3536487459069031,4,0,0,4,True,False,False,author_id
2aec08b1-2f2a-12c5-e770-711437c6275e,4,1,0,5,True,True,False,author_id
7559850732032394300,4,0,0,4,True,False,False,author_id
14f062a3-04fb-ba59-44a7-5b2278c22ef6,4,0,0,4,True,False,False,author_id
973e3e24-b057-d9f3-8faf-81ef9d2da4f2,4,0,0,4,True,False,False,author_id
70367542514,3,1,0,4,True,True,False,author_id
87255817409,3,0,1,4,True,False,True,author_id
3c1388a3-154c-1b09-cf75-660c959e71a0,3,1,1,5,True,True,True,author_id
2518346399230276,3,2,0,5,True,True,False,author_id
6ba8005b-6535-513d-67b8-2f712b813721,3,0,0,3,True,False,False,author_id
1cba2e2b-cb2a-01af-e2c1-bc05b712885c,3,0,1,4,True,False,True,author_id
54345816353412,3,0,0,3,True,False,False,author_id
9ef91878-461d-468f-4929-f9fdfdc61532,3,0,0,3,True,False,False,author_id
a297ac83-ff04-df50-6a1e-6621c9db9e01,3,1,0,4,True,True,False,author_id
3714b16f-1f0e-d142-e00b-06f371d9e3d7,3,1,0,4,True,True,False,author_id
63334565714,3,0,0,3,True,False,False,author_id
683ca7b5-fc6a-4306-a592-482e59c10708,3,1,0,4,True,True,False,author_id
8dc75dc6-8da6-49ae-0ac0-4c960575ee89,3,0,0,3,True,False,False,author_id
419b8ec6-2f00-8fd3-dfa6-4fc5e009650a,3,1,0,4,True,True,False,author_id
ba919f5b-2f42-77cb-d5a4-13f1b34d5897,3,0,0,3,True,False,False,author_id
63038290966,3,1,0,4,True,True,False,author_id
ba5bf033-5f7c-ad1d-cf08-9502d1dca274,3,0,1,4,True,False,True,author_id
2258810838459188,3,0,0,3,True,False,False,author_id
c7c37951-d109-df5c-765e-0f842234b001,3,0,2,5,True,False,True,author_id
990d98e6-b5e1-bd74-0d2c-af707050a80c,3,0,0,3,True,False,False,author_id
