field,source,train_unique,val_unique,test_unique,val_oov_rate,test_oov_rate,train_freq_mean,train_freq_median,singleton_ratio,top100_coverage,missing_rate_train,decision
author_id,tabular_train/val/test.csv (built-in column),2595,650,647,75.38,75.58,,,88.82,22.54,0.0,fail
music_id,raw_music_real_raw_5000.csv (joined by video_id),2538,538,550,99.26,99.64,,,99.68,4.35,27.17,fail
